LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,Defective
6,9,2,1,0,16,5,0.2,8,2.0,3,0.6,17,1,0.0,24,3,32.54,9.5,2936.77,N
15,7,3,1,19,12,4,0.13,6,2.0,2,0.5,17,1,0.0,31,1,38.55,21.52,17846.19,Y
27,9,1,4,22,16,5,0.15,8,2.0,3,0.6,18,1,0.0,29,0,52.03,12.33,7914.68,Y
7,3,2,0,0,4,2,0.17,2,2.0,2,1.0,6,1,0.0,12,2,14.62,6.43,604.36,N
51,25,13,0,14,48,13,0.12,24,2.0,11,0.85,96,1,0.0,106,2,101.31,27.04,74089.87,N
3,5,2,0,0,8,3,0.2,4,2.0,3,1.0,12,1,0.0,15,1,8.17,18.0,2648.68,N
13,9,5,12,16,16,5,0.14,8,2.0,5,1.0,21,5,1.0,25,4,38.51,14.25,7820.87,N
22,29,0,8,35,44,15,0.28,16,2.75,1,0.07,45,3,0.14,46,0,61.1,22.3,30377.95,N
16,9,2,11,28,12,5,0.11,4,3.0,1,0.2,21,5,1.0,34,2,41.24,20.76,17773.08,N
4,3,0,2,4,4,2,0.17,2,2.0,1,0.5,6,1,0.0,10,1,15.9,9.0,1287.55,N
23,13,0,10,17,24,7,0.21,12,2.0,1,0.14,27,5,0.67,23,3,27.4,28.12,21659.58,N
23,13,0,10,17,24,7,0.21,12,2.0,1,0.14,27,5,0.67,23,3,17.45,27.22,12929.85,N
40,9,4,2,15,16,5,0.15,8,2.0,2,0.4,21,1,0.0,31,0,47.41,27.5,35852.6,N
23,9,6,3,20,16,5,0.19,8,2.0,2,0.4,23,1,0.0,24,0,43.1,15.2,9958.0,N
8,3,1,6,5,4,2,0.11,2,2.0,1,0.5,7,1,0.0,13,1,29.61,9.15,2480.95,N
19,3,1,2,0,4,2,0.06,2,2.0,2,1.0,23,1,0.0,33,0,64.01,11.65,8684.99,N
6,7,0,6,0,10,4,0.15,4,2.5,1,0.25,13,4,1.0,21,1,21.34,24.44,12748.97,N
134,60,9,63,31,38,41,0.17,16,2.38,23,0.56,118,6,0.13,177,5,101.81,54.82,305928.62,N
9,8,2,4,5,8,5,0.28,4,2.0,3,0.6,14,1,0.0,14,0,12.36,15.0,2781.99,N
164,110,26,37,191,128,70,0.18,54,2.37,46,0.66,241,27,0.38,361,1,157.03,97.73,1499684.32,N
27,24,11,3,48,34,13,0.16,14,2.43,10,0.77,53,7,0.5,76,1,60.5,32.21,62767.66,N
5,5,1,0,0,8,3,0.15,4,2.0,3,1.0,10,1,0.0,20,1,34.17,10.29,3620.93,N
7,9,3,4,5,14,5,0.16,6,2.33,3,0.6,20,3,0.5,27,0,24.71,21.86,11802.86,N
16,5,7,2,24,8,3,0.18,4,2.0,3,1.0,15,1,0.0,15,1,36.19,7.18,1867.89,N
15,7,3,3,8,12,4,0.25,6,2.0,4,1.0,15,1,0.0,13,0,26.75,11.03,3253.68,N
19,5,4,2,16,8,3,0.11,4,2.0,3,1.0,14,1,0.0,25,1,48.49,14.11,9649.29,N
19,7,5,5,10,12,4,0.15,6,2.0,4,1.0,15,4,1.0,22,1,28.43,13.42,5120.93,N
15,11,4,5,19,20,6,0.18,10,2.0,4,0.67,23,1,0.0,28,2,30.61,23.1,16332.07,N
13,3,1,3,18,4,2,0.1,2,2.0,2,1.0,6,1,0.0,18,2,25.62,24.42,15282.02,N
14,9,3,2,20,16,5,0.19,8,2.0,3,0.6,21,1,0.0,24,1,27.08,39.72,42716.37,N
12,9,4,2,12,16,5,0.13,8,2.0,5,1.0,22,1,0.0,38,1,54.44,19.25,20172.82,N
23,9,5,10,9,16,5,0.12,8,2.0,5,1.0,21,5,1.0,31,1,54.55,14.84,12009.6,N
155,71,5,14,170,122,37,0.18,58,2.1,26,0.7,148,21,0.56,196,1,127.7,71.54,653537.1,Y
42,11,10,5,44,20,6,0.16,10,2.0,6,1.0,30,1,0.0,32,0,53.31,12.89,8852.8,N
30,19,5,6,45,36,10,0.13,18,2.0,9,0.9,48,8,0.78,71,1,46.15,27.11,33930.43,Y
9,3,2,0,7,4,2,0.13,2,2.0,2,1.0,6,1,0.0,15,0,27.05,14.25,5493.37,Y
26,17,4,5,32,28,9,0.13,12,2.33,6,0.67,39,4,0.38,62,2,97.49,20.91,42621.97,N
40,11,12,3,47,20,6,0.14,10,2.0,5,0.83,40,1,0.0,41,0,61.64,16.96,17733.62,N
7,7,2,0,8,12,4,0.16,6,2.0,1,0.25,16,1,0.0,25,0,31.67,15.0,7125.0,N
93,25,10,11,57,48,13,0.08,24,2.0,12,0.92,69,1,0.0,143,1,175.18,28.52,142535.33,Y
9,5,3,2,2,8,3,0.16,4,2.0,3,1.0,11,1,0.0,17,0,36.74,14.57,7799.92,N
12,7,2,2,2,12,4,0.2,6,2.0,4,1.0,14,1,0.0,18,1,54.3,7.89,3382.91,N
31,11,5,7,30,20,6,0.15,10,2.0,5,0.83,26,1,0.0,33,0,53.63,18.46,18269.63,Y
62,7,3,7,46,12,4,0.04,6,2.0,4,1.0,15,1,0.0,92,0,234.02,26.64,166113.93,Y
36,13,5,6,14,24,7,0.14,12,2.0,7,1.0,30,1,0.0,44,0,78.96,22.12,38620.28,Y
39,13,7,4,28,24,7,0.13,12,2.0,7,1.0,33,1,0.0,48,1,124.44,13.9,24028.83,N
77,19,6,4,31,36,10,0.08,18,2.0,10,1.0,69,1,0.0,127,1,208.02,26.3,143936.36,N
55,7,9,0,23,12,4,0.19,6,2.0,4,1.0,19,1,0.0,21,0,51.3,7.64,2991.43,N
17,23,2,0,34,42,12,0.18,20,2.1,8,0.67,46,3,0.18,65,0,108.84,15.19,25107.55,N
12,3,2,1,8,4,2,0.06,2,2.0,2,1.0,6,1,0.0,32,0,68.36,18.78,24116.87,N
13,9,7,1,20,16,5,0.21,8,2.0,5,1.0,20,1,0.0,23,0,30.19,7.85,1858.26,N
3,3,0,1,6,4,2,0.22,2,2.0,1,0.5,5,1,0.0,8,1,10.63,3.75,149.49,N
22,19,8,1,1,28,11,0.17,14,2.0,9,0.82,55,10,0.9,63,2,40.21,43.24,75169.98,N
12,7,4,1,0,12,4,0.17,6,2.0,4,1.0,19,4,1.0,22,2,30.25,10.71,3467.15,N
15,13,4,1,1,24,7,0.19,12,2.0,6,0.86,39,1,0.0,36,2,34.37,26.52,24176.72,N
5,3,1,1,2,4,2,0.08,2,2.0,2,1.0,21,1,0.0,23,2,56.67,6.13,2126.03,N
12,9,3,1,1,16,5,0.24,8,2.0,4,0.8,19,5,1.0,20,2,23.83,11.5,3151.22,N
9,7,3,4,0,12,4,0.19,6,2.0,4,1.0,17,4,1.0,17,2,26.81,10.4,2899.8,N
27,27,7,3,1,44,15,0.2,22,2.0,12,0.8,66,8,0.5,73,2,36.37,50.39,92350.98,N
7,3,1,4,1,4,2,0.2,2,2.0,2,1.0,6,1,0.0,6,2,16.39,3.5,200.76,N
10,7,5,5,1,12,4,0.18,6,2.0,3,0.75,21,1,0.0,17,2,31.11,12.06,4520.83,N
22,23,7,3,1,36,13,0.19,18,2.0,9,0.69,59,9,0.67,64,2,39.47,43.33,74124.42,N
3,7,1,0,0,10,4,0.2,4,2.5,2,0.5,12,4,1.0,20,1,13.47,16.0,3447.89,N
3,11,1,0,0,16,6,0.25,6,2.67,2,0.33,18,6,1.0,24,1,19.97,17.33,5999.58,N
3,11,1,0,0,16,6,0.25,6,2.67,2,0.33,18,6,1.0,24,1,19.97,17.33,5999.58,N
0,5,0,0,0,6,3,0.33,2,3.0,1,0.33,8,3,1.0,9,1,14.65,4.8,337.48,N
0,9,0,0,0,10,5,0.56,2,5.0,1,0.2,12,5,1.0,9,1,19.29,6.43,797.14,N
0,5,0,0,0,6,3,0.33,2,3.0,1,0.33,8,3,1.0,9,1,9.14,10.0,913.77,N
0,3,0,0,0,4,2,0.14,2,2.0,1,0.5,6,1,0.0,14,2,36.78,7.07,1838.97,N
39,9,8,9,14,16,5,0.07,8,2.0,5,1.0,24,1,0.0,60,8,97.85,22.12,47876.6,N
