HALSTEAD_EFFORT,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,HALSTEAD_LENGTH,NUM_OPERATORS,NUMBER_OF_LINES,NUM_OPERANDS,LOC_COMMENTS,LOC_EXECUTABLE,LOC_TOTAL,NUM_UNIQUE_OPERANDS,HALSTEAD_CONTENT,EDGE_COUNT,CONDITION_COUNT,NODE_COUNT,LOC_BLANK,BRANCH_COUNT,MULTIPLE_CONDITION_COUNT,DECISION_COUNT,PERCENT_COMMENTS,Defective
2936.77,163.15,309.13,63,44,32,19,0,24,25,15,32.54,17,16,14,6,9,8,8,4.0,N
17846.19,991.46,829.45,141,90,67,51,19,31,32,32,38.55,17,12,15,15,7,6,6,39.22,Y
7914.68,439.7,641.73,111,74,83,37,22,29,33,33,52.03,18,16,15,27,9,8,8,47.27,Y
604.36,33.58,94.01,23,14,20,9,0,12,12,7,14.62,6,4,6,7,3,2,2,0.0,N
74089.87,4116.1,2739.78,421,229,172,192,14,106,106,71,101.31,96,48,85,51,25,24,24,11.67,N
2648.68,147.15,147.15,36,21,19,15,0,15,15,5,8.17,12,8,11,3,5,4,4,0.0,N
7820.87,434.49,548.83,107,69,67,38,16,25,37,20,38.51,21,16,18,13,9,8,8,52.83,N
30377.95,1687.66,1362.41,239,129,112,110,35,46,54,37,61.1,45,44,32,22,29,22,16,48.31,N
17773.08,987.39,856.15,155,96,90,59,28,34,45,27,41.24,21,12,18,16,9,6,4,53.42,N
1287.55,71.53,143.06,35,19,21,16,4,10,12,8,15.9,6,4,6,4,3,2,2,37.5,N
21659.58,1203.31,770.38,157,114,74,43,17,23,33,13,27.4,27,24,22,23,13,12,12,54.0,N
12929.85,718.32,474.97,105,70,74,35,17,23,33,9,17.45,27,24,22,23,13,12,12,54.0,N
35852.6,1991.81,1303.73,231,161,89,70,15,31,33,28,47.41,21,16,18,40,9,8,8,35.42,N
9958.0,553.22,655.13,120,80,71,40,20,24,27,25,43.1,23,16,20,23,9,8,8,48.94,N
2480.95,137.83,271.03,57,40,33,17,5,13,19,13,29.61,7,4,7,8,3,2,2,45.83,N
8684.99,482.5,745.68,135,69,55,66,0,33,35,34,64.01,23,4,23,19,3,2,2,5.71,N
12748.97,708.28,521.54,98,58,34,40,0,21,27,18,21.34,13,10,11,6,7,5,4,22.22,N
305928.62,16996.03,5580.79,767,499,406,268,31,177,240,110,101.81,118,38,79,134,60,19,16,34.69,N
2781.99,154.56,185.47,41,25,33,16,5,14,18,8,12.36,14,8,11,9,8,4,4,39.13,N
1499684.32,83315.8,15345.64,1844,1133,764,711,191,361,398,251,157.03,241,128,173,164,110,66,54,38.71,N
62767.66,3487.09,1948.67,298,196,155,102,48,76,79,57,60.5,53,34,42,27,24,19,14,40.16,N
3620.93,201.16,351.75,71,46,26,25,0,20,20,17,34.17,10,8,9,5,5,4,4,0.0,N
11802.86,655.71,540.0,108,74,44,34,5,27,31,14,24.71,20,14,17,7,9,7,6,25.0,N
1867.89,103.77,260.0,52,31,58,21,24,15,17,19,36.19,15,8,14,16,5,4,4,63.41,N
3253.68,180.76,295.0,59,34,40,25,8,13,16,17,26.75,15,12,13,15,7,6,6,45.83,N
9649.29,536.07,684.05,120,71,70,49,16,25,27,33,48.49,14,8,13,19,5,4,4,41.86,N
5120.93,284.5,381.56,75,41,57,34,10,22,27,19,28.43,15,12,13,19,7,6,6,40.54,N
16332.07,907.34,707.02,128,73,75,55,19,28,33,25,30.61,23,20,19,15,11,10,10,46.15,N
15282.02,849.0,625.77,122,64,53,58,18,18,21,19,25.62,6,4,6,13,3,2,2,53.85,N
42716.37,2373.13,1075.51,197,110,68,87,20,24,26,23,27.08,21,16,18,14,9,8,8,47.83,N
20172.82,1120.71,1047.94,176,106,73,70,12,38,40,40,54.44,22,16,19,12,9,8,8,26.92,N
12009.6,667.2,809.39,140,79,74,61,9,31,41,37,54.55,21,16,18,23,9,8,8,38.0,N
653537.1,36307.62,9135.35,1177,723,536,454,170,196,210,165,127.7,148,122,113,155,71,61,58,48.42,Y
8852.8,491.82,686.95,123,76,124,47,44,32,37,31,53.31,30,20,26,42,11,10,10,60.49,N
33930.43,1885.02,1251.39,211,138,153,73,45,71,77,35,46.15,48,36,40,30,19,18,18,41.8,Y
5493.37,305.19,385.5,74,47,32,27,7,15,15,18,27.05,6,4,6,9,3,2,2,31.82,Y
42621.97,2367.89,2038.44,314,199,126,115,32,62,67,66,97.49,39,28,32,26,17,14,12,37.37,N
17733.62,985.2,1045.52,177,114,132,63,47,41,44,39,61.64,40,20,36,40,11,10,10,54.95,N
7125.0,395.83,475.0,95,65,41,30,8,25,25,16,31.67,16,12,14,7,7,6,6,24.24,N
142535.33,7918.63,4996.93,695,405,305,290,57,143,154,122,175.18,69,48,58,93,25,24,24,32.22,Y
7799.92,433.33,535.29,102,66,31,36,2,17,19,21,36.74,11,8,10,9,5,4,4,19.05,N
3382.91,187.94,428.6,80,46,35,34,2,18,20,28,54.3,14,12,12,12,7,6,6,18.18,N
18269.63,1014.98,989.84,172,104,102,68,30,33,40,35,53.63,26,20,22,31,11,10,10,52.86,Y
166113.93,9228.55,6234.84,822,449,215,373,46,92,99,168,234.02,15,12,13,62,7,6,6,36.55,Y
38620.28,2145.57,1746.31,269,154,101,115,14,44,50,65,78.96,30,24,25,36,13,12,12,31.25,Y
24028.83,1334.93,1729.18,262,155,120,107,28,48,52,77,124.44,33,24,28,39,13,12,12,40.0,N
143936.36,7996.46,5471.89,753,494,240,259,31,127,131,128,208.02,69,36,61,77,19,18,18,21.6,N
2991.43,166.19,391.73,77,49,100,28,23,21,21,22,51.3,19,12,17,55,7,6,6,52.27,N
25107.55,1394.86,1653.06,263,154,117,109,34,65,65,61,108.84,46,42,36,17,23,21,20,34.34,N
24116.87,1339.83,1284.0,214,118,54,96,8,32,33,46,68.36,6,4,6,12,3,2,2,21.95,N
