HALSTEAD_DIFFICULTY,ESSENTIAL_COMPLEXITY,MODIFIED_CONDITION_COUNT,NUM_OPERANDS,ESSENTIAL_DENSITY,NUM_UNIQUE_OPERATORS,HALSTEAD_LENGTH,CONDITION_COUNT,PARAMETER_COUNT,DECISION_COUNT,DESIGN_DENSITY,LOC_BLANK,EDGE_COUNT,BRANCH_COUNT,MULTIPLE_CONDITION_COUNT,NUMBER_OF_LINES,NUM_OPERATORS,NODE_COUNT,PERCENT_COMMENTS,CYCLOMATIC_COMPLEXITY,Defective
9.5,1,4,19,0.0,15,63,16,3,8,0.6,6,17,9,8,32,44,14,4.0,5,N
21.52,1,3,51,0.0,27,141,12,1,6,0.5,15,17,7,6,67,90,15,39.22,4,Y
12.33,1,4,37,0.0,22,111,16,0,8,0.6,27,18,9,8,83,74,15,47.27,5,Y
6.43,1,1,9,0.0,10,23,4,2,2,1.0,7,6,3,2,20,14,6,0.0,2,N
27.04,1,12,192,0.0,20,421,48,2,24,0.85,51,96,25,24,172,229,85,11.67,13,N
18.0,1,2,15,0.0,12,36,8,1,4,1.0,3,12,5,4,19,21,11,0.0,3,N
14.25,5,4,38,1.0,15,107,16,4,8,1.0,13,21,9,8,67,69,18,52.83,5,N
22.3,3,14,110,0.14,15,239,44,0,16,0.07,22,45,29,22,112,129,32,48.31,15,N
20.76,5,4,59,1.0,19,155,12,2,4,0.2,16,21,9,6,90,96,18,53.42,5,N
9.0,1,1,16,0.0,9,35,4,1,2,0.5,4,6,3,2,21,19,6,37.5,2,N
28.12,5,6,43,0.67,17,157,24,3,12,0.14,23,27,13,12,74,114,22,54.0,7,N
27.22,5,6,35,0.67,14,105,24,3,12,0.14,23,27,13,12,74,70,22,54.0,7,N
27.5,1,4,70,0.0,22,231,16,0,8,0.4,40,21,9,8,89,161,18,35.42,5,N
15.2,1,4,40,0.0,19,120,16,0,8,0.4,23,23,9,8,71,80,20,48.94,5,N
9.15,1,1,17,0.0,14,57,4,1,2,0.5,8,7,3,2,33,40,7,45.83,2,N
11.65,1,1,66,0.0,12,135,4,0,2,1.0,19,23,3,2,55,69,23,5.71,2,N
24.44,4,3,40,1.0,22,98,10,1,4,0.25,6,13,7,5,34,58,11,22.22,4,N
54.82,6,11,268,0.13,45,767,38,5,16,0.56,134,118,60,19,406,499,79,34.69,41,N
15.0,1,2,16,0.0,15,41,8,0,4,0.6,9,14,8,4,33,25,11,39.13,5,N
97.73,27,37,711,0.38,69,1844,128,1,54,0.66,164,241,110,66,764,1133,173,38.71,70,N
32.21,7,10,102,0.5,36,298,34,1,14,0.77,27,53,24,19,155,196,42,40.16,13,N
10.29,1,2,25,0.0,14,71,8,1,4,1.0,5,10,5,4,26,46,9,0.0,3,N
21.86,3,4,34,0.5,18,108,14,0,6,0.6,7,20,9,7,44,74,17,25.0,5,N
7.18,1,2,21,0.0,13,52,8,1,4,1.0,16,15,5,4,58,31,14,63.41,3,N
11.03,1,3,25,0.0,15,59,12,0,6,1.0,15,15,7,6,40,34,13,45.83,4,N
14.11,1,2,49,0.0,19,120,8,1,4,1.0,19,14,5,4,70,71,13,41.86,3,N
13.42,4,3,34,1.0,15,75,12,1,6,1.0,19,15,7,6,57,41,13,40.54,4,N
23.1,1,5,55,0.0,21,128,20,2,10,0.67,15,23,11,10,75,73,19,46.15,6,N
24.42,1,1,58,0.0,16,122,4,2,2,1.0,13,6,3,2,53,64,6,53.85,2,N
39.72,1,4,87,0.0,21,197,16,1,8,0.6,14,21,9,8,68,110,18,47.83,5,N
19.25,1,4,70,0.0,22,176,16,1,8,1.0,12,22,9,8,73,106,19,26.92,5,N
14.84,5,4,61,1.0,18,140,16,1,8,1.0,23,21,9,8,74,79,18,38.0,5,N
71.54,21,32,454,0.56,52,1177,122,1,58,0.7,155,148,71,61,536,723,113,48.42,37,Y
12.89,1,5,47,0.0,17,123,20,0,10,1.0,42,30,11,10,124,76,26,60.49,6,N
27.11,8,9,73,0.78,26,211,36,1,18,0.9,30,48,19,18,153,138,40,41.8,10,Y
14.25,1,1,27,0.0,19,74,4,0,2,1.0,9,6,3,2,32,47,6,31.82,2,Y
20.91,4,8,115,0.38,24,314,28,2,12,0.67,26,39,17,14,126,199,32,37.37,9,N
16.96,1,5,63,0.0,21,177,20,0,10,0.83,40,40,11,10,132,114,36,54.95,6,N
15.0,1,3,30,0.0,16,95,12,0,6,0.25,7,16,7,6,41,65,14,24.24,4,N
28.52,1,12,290,0.0,24,695,48,1,24,0.92,93,69,25,24,305,405,58,32.22,13,Y
14.57,1,2,36,0.0,17,102,8,0,4,1.0,9,11,5,4,31,66,10,19.05,3,N
7.89,1,3,34,0.0,13,80,12,1,6,1.0,12,14,7,6,35,46,12,18.18,4,N
18.46,1,5,68,0.0,19,172,20,0,10,0.83,31,26,11,10,102,104,22,52.86,6,Y
26.64,1,3,373,0.0,24,822,12,0,6,1.0,62,15,7,6,215,449,13,36.55,4,Y
22.12,1,6,115,0.0,25,269,24,0,12,1.0,36,30,13,12,101,154,25,31.25,7,Y
13.9,1,6,107,0.0,20,262,24,1,12,1.0,39,33,13,12,120,155,28,40.0,7,N
26.3,1,9,259,0.0,26,753,36,1,18,1.0,77,69,19,18,240,494,61,21.6,10,N
7.64,1,3,28,0.0,12,77,12,0,6,1.0,55,19,7,6,100,49,17,52.27,4,N
15.19,3,11,109,0.18,17,263,42,0,20,0.67,17,46,23,21,117,154,36,34.34,12,N
18.78,1,1,96,0.0,18,214,4,0,2,1.0,12,6,3,2,54,118,6,21.95,2,N
7.85,1,4,17,0.0,12,51,16,0,8,1.0,13,20,9,8,58,34,17,47.73,5,N
3.75,1,1,5,0.0,6,12,4,1,2,0.5,3,5,3,2,19,7,5,46.67,2,N
43.24,10,7,105,0.9,28,292,28,2,14,0.82,22,55,19,14,88,187,46,3.08,11,N
10.71,4,3,28,1.0,13,66,12,2,6,1.0,12,19,7,6,36,38,17,4.35,4,N
26.52,1,6,67,0.0,19,168,24,2,12,0.86,15,39,13,12,54,101,34,5.26,7,N
6.13,1,1,35,0.0,7,73,4,2,2,1.0,5,21,3,2,32,38,21,11.54,2,N
11.5,5,4,23,1.0,14,57,16,2,8,0.8,12,19,9,8,35,34,16,9.09,5,N
10.4,4,3,24,1.0,13,58,12,2,6,1.0,9,17,7,6,31,34,15,19.05,4,N
50.39,8,11,113,0.5,33,299,44,2,22,0.8,27,66,27,22,105,186,53,5.19,15,N
3.5,1,1,5,0.0,7,16,4,2,2,1.0,7,6,3,2,19,11,6,45.45,2,N
12.06,1,3,31,0.0,14,75,12,2,6,0.75,10,21,7,6,34,44,19,26.09,4,N
43.33,9,9,104,0.67,30,283,36,2,18,0.69,22,59,23,18,91,179,48,5.88,13,N
16.0,4,3,16,1.0,16,47,10,1,4,0.5,3,12,7,5,24,31,10,0.0,4,N
17.33,6,5,26,1.0,16,72,16,1,6,0.33,3,18,11,8,28,46,14,0.0,6,N
17.33,6,5,26,1.0,16,72,16,1,6,0.33,3,18,11,8,28,46,14,0.0,6,N
4.8,3,2,6,1.0,8,19,6,1,2,0.33,0,8,5,3,10,13,7,0.0,3,N
6.43,5,4,10,1.0,9,31,10,1,2,0.2,0,12,9,7,10,21,9,0.0,5,N
10.0,3,2,8,1.0,10,24,6,1,2,0.33,0,8,5,3,10,16,7,0.0,3,N
7.07,1,1,18,0.0,11,56,4,2,2,0.5,0,6,3,2,15,38,6,0.0,2,N
22.12,1,4,114,0.0,26,331,16,8,8,1.0,39,24,9,8,146,217,21,27.71,5,N
9.0,1,2,27,0.0,12,73,8,0,4,1.0,9,10,5,4,42,46,9,50.0,3,N
6.11,1,1,10,0.0,11,33,4,1,2,1.0,4,6,3,2,21,23,6,25.0,2,N
9.63,1,1,14,0.0,11,41,4,2,2,0.5,3,6,3,2,17,27,6,0.0,2,N
77.46,1,3,220,0.0,50,605,12,3,6,0.87,55,70,34,6,283,385,42,41.41,30,Y
9.1,1,1,13,0.0,14,42,4,3,2,1.0,5,7,3,2,35,29,7,44.83,2,N
18.12,3,3,29,0.67,25,95,10,3,4,0.75,22,12,7,5,58,66,10,22.86,4,N
17.25,4,4,33,0.75,23,110,14,3,6,0.8,19,16,9,7,69,77,13,36.73,5,N
16.0,1,4,32,0.0,20,93,16,2,8,0.6,12,19,9,8,80,61,16,44.78,5,N
13.2,3,3,33,0.67,16,99,10,2,4,0.5,5,13,7,5,38,66,11,18.75,4,N
12.6,1,5,43,0.0,17,135,20,2,10,0.5,6,19,11,10,49,92,15,19.05,6,N
23.5,1,6,47,0.0,15,126,22,1,10,0.71,21,24,13,11,85,79,19,50.79,7,N
7.6,1,1,19,0.0,12,60,4,2,2,0.5,7,6,3,2,23,41,6,0.0,2,N
16.36,4,3,24,1.0,15,63,12,2,6,1.0,10,15,7,6,44,39,13,54.55,4,N
55.88,7,28,309,0.21,34,729,112,0,56,0.93,53,162,57,56,259,420,135,30.85,29,N
20.71,1,3,58,0.0,15,122,12,0,6,1.0,12,25,7,6,49,64,23,16.67,4,N
12.0,1,5,54,0.0,12,146,20,0,10,1.0,10,31,11,10,49,92,27,10.53,6,N
45.77,1,5,136,0.0,35,336,20,1,10,0.67,47,50,15,10,162,200,43,48.25,9,N
19.62,1,3,34,0.0,15,77,12,6,6,0.25,7,15,7,6,65,43,13,71.93,4,N
42.02,1,11,230,0.0,19,541,44,4,22,0.08,33,60,23,22,199,311,50,60.61,12,N
51.47,9,19,250,0.42,28,568,70,1,32,0.2,46,97,39,35,254,318,79,56.04,20,Y
12.28,1,2,26,0.0,17,93,8,0,4,1.0,5,15,5,4,29,67,14,13.04,3,N
33.52,5,9,83,0.44,21,187,36,3,18,0.1,9,38,19,18,80,104,30,17.14,10,Y
25.26,9,14,89,0.57,21,219,50,2,22,0.07,17,55,29,25,140,130,42,59.02,15,N
10.42,1,2,25,0.0,10,51,8,2,4,0.33,1,12,5,4,14,26,11,0.0,3,N
48.06,7,16,173,0.38,35,407,60,1,28,0.35,24,79,33,30,186,234,64,42.24,17,N
37.75,19,16,151,1.0,32,422,52,0,20,0.68,24,68,37,26,112,271,51,20.69,19,N
10.56,3,2,13,1.0,13,33,8,2,4,0.33,4,10,5,4,22,20,9,5.88,3,N
14.67,1,2,16,0.0,11,36,8,2,4,0.33,5,9,5,4,26,20,8,0.0,3,N
38.57,10,8,285,0.56,36,695,28,1,12,0.76,26,72,28,14,320,410,57,47.44,17,N
18.26,9,15,83,0.53,22,255,54,6,24,0.44,6,61,31,28,99,172,47,21.74,16,N
