NUMBER_OF_LINES,NUM_UNIQUE_OPERATORS,LOC_BLANK,LOC_COMMENTS,NUM_UNIQUE_OPERANDS,PARAMETER_COUNT,HALSTEAD_PROG_TIME,CYCLOMATIC_DENSITY,LOC_CODE_AND_COMMENT,CALL_PAIRS,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,NUM_OPERANDS,PERCENT_COMMENTS,LOC_EXECUTABLE,LOC_TOTAL,NODE_COUNT,DESIGN_DENSITY,HALSTEAD_VOLUME,HALSTEAD_EFFORT,Defective
32,15,6,0,15,3,163.2,0.2,1,2,32.5,9.5,19,4,24,25,14,0.6,309.1,2936.8,N
67,27,15,19,32,1,991.5,0.1,1,3,38.6,21.5,51,39.2,31,32,15,0.5,829.5,17846.2,Y
83,22,27,22,33,0,439.7,0.2,4,1,52,12.3,37,47.3,29,33,15,0.6,641.7,7914.7,Y
20,10,7,0,7,2,33.6,0.2,0,2,14.6,6.4,9,0,12,12,6,1,94,604.4,N
172,20,51,14,71,2,4116.1,0.1,0,13,101.3,27,192,11.7,106,106,85,0.9,2739.8,74089.9,N
19,12,3,0,5,1,147.2,0.2,0,2,8.2,18,15,0,15,15,11,1,147.2,2648.7,N
67,15,13,16,20,4,434.5,0.1,12,5,38.5,14.3,38,52.8,25,37,18,1,548.8,7820.9,N
112,15,22,35,37,0,1687.7,0.3,8,0,61.1,22.3,110,48.3,46,54,32,0.1,1362.4,30378,N
90,19,16,28,27,2,987.4,0.1,11,2,41.2,20.8,59,53.4,34,45,18,0.2,856.2,17773.1,N
21,9,4,4,8,1,71.5,0.2,2,0,15.9,9,16,37.5,10,12,6,0.5,143.1,1287.6,N
74,17,23,17,13,3,1203.3,0.2,10,0,27.4,28.1,43,54,23,33,22,0.1,770.4,21659.6,N
74,14,23,17,9,3,718.3,0.2,10,0,17.5,27.2,35,54,23,33,22,0.1,475,12929.9,N
89,22,40,15,28,0,1991.8,0.2,2,4,47.4,27.5,70,35.4,31,33,18,0.4,1303.7,35852.6,N
