LOC_EXECUTABLE,NUMBER_OF_LINES,NUM_OPERATORS,LOC_TOTAL,NUM_UNIQUE_OPERANDS,HALSTEAD_LENGTH,HALSTEAD_ERROR_EST,NUM_UNIQUE_OPERATORS,NUM_OPERANDS,HALSTEAD_VOLUME,LOC_COMMENTS,HALSTEAD_CONTENT,MODIFIED_CONDITION_COUNT,CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,DECISION_COUNT,EDGE_COUNT,NODE_COUNT,BRANCH_COUNT,LOC_BLANK,Defective
24,32,44,25,15,63,0.1,15,19,309.1,0,32.5,4,16,8,8,17,14,9,6,N
31,67,90,32,32,141,0.3,27,51,829.5,19,38.6,3,12,6,6,17,15,7,15,Y
29,83,74,33,33,111,0.2,22,37,641.7,22,52,4,16,8,8,18,15,9,27,Y
12,20,14,12,7,23,0,10,9,94,0,14.6,1,4,2,2,6,6,3,7,N
106,172,229,106,71,421,0.9,20,192,2739.8,14,101.3,12,48,24,24,96,85,25,51,N
15,19,21,15,5,36,0.1,12,15,147.2,0,8.2,2,8,4,4,12,11,5,3,N
25,67,69,37,20,107,0.2,15,38,548.8,16,38.5,4,16,8,8,21,18,9,13,N
46,112,129,54,37,239,0.5,15,110,1362.4,35,61.1,14,44,22,16,45,32,29,22,N
34,90,96,45,27,155,0.3,19,59,856.2,28,41.2,4,12,6,4,21,18,9,16,N
10,21,19,12,8,35,0.1,9,16,143.1,4,15.9,1,4,2,2,6,6,3,4,N
23,74,114,33,13,157,0.3,17,43,770.4,17,27.4,6,24,12,12,27,22,13,23,N
23,74,70,33,9,105,0.2,14,35,475,17,17.5,6,24,12,12,27,22,13,23,N
31,89,161,33,28,231,0.4,22,70,1303.7,15,47.4,4,16,8,8,21,18,9,40,N
24,71,80,27,25,120,0.2,19,40,655.1,20,43.1,4,16,8,8,23,20,9,23,N
13,33,40,19,13,57,0.1,14,17,271,5,29.6,1,4,2,2,7,7,3,8,N
33,55,69,35,34,135,0.3,12,66,745.7,0,64,1,4,2,2,23,23,3,19,N
21,34,58,27,18,98,0.2,22,40,521.5,0,21.3,3,10,5,4,13,11,7,6,N
177,406,499,240,110,767,1.9,45,268,5580.8,31,101.8,11,38,19,16,118,79,60,134,N
14,33,25,18,8,41,0.1,15,16,185.5,5,12.4,2,8,4,4,14,11,8,9,N
361,764,1133,398,251,1844,5.1,69,711,15345.6,191,157,37,128,66,54,241,173,110,164,N
76,155,196,79,57,298,0.7,36,102,1948.7,48,60.5,10,34,19,14,53,42,24,27,N
20,26,46,20,17,71,0.1,14,25,351.8,0,34.2,2,8,4,4,10,9,5,5,N
27,44,74,31,14,108,0.2,18,34,540,5,24.7,4,14,7,6,20,17,9,7,N
15,58,31,17,19,52,0.1,13,21,260,24,36.2,2,8,4,4,15,14,5,16,N
13,40,34,16,17,59,0.1,15,25,295,8,26.8,3,12,6,6,15,13,7,15,N
25,70,71,27,33,120,0.2,19,49,684.1,16,48.5,2,8,4,4,14,13,5,19,N
22,57,41,27,19,75,0.1,15,34,381.6,10,28.4,3,12,6,6,15,13,7,19,N
28,75,73,33,25,128,0.2,21,55,707,19,30.6,5,20,10,10,23,19,11,15,N
18,53,64,21,19,122,0.2,16,58,625.8,18,25.6,1,4,2,2,6,6,3,13,N
24,68,110,26,23,197,0.4,21,87,1075.5,20,27.1,4,16,8,8,21,18,9,14,N
38,73,106,40,40,176,0.4,22,70,1047.9,12,54.4,4,16,8,8,22,19,9,12,N
31,74,79,41,37,140,0.3,18,61,809.4,9,54.6,4,16,8,8,21,18,9,23,N
196,536,723,210,165,1177,3.1,52,454,9135.4,170,127.7,32,122,61,58,148,113,71,155,Y
32,124,76,37,31,123,0.2,17,47,687,44,53.3,5,20,10,10,30,26,11,42,N
71,153,138,77,35,211,0.4,26,73,1251.4,45,46.2,9,36,18,18,48,40,19,30,Y
15,32,47,15,18,74,0.1,19,27,385.5,7,27.1,1,4,2,2,6,6,3,9,Y
62,126,199,67,66,314,0.7,24,115,2038.4,32,97.5,8,28,14,12,39,32,17,26,N
41,132,114,44,39,177,0.4,21,63,1045.5,47,61.6,5,20,10,10,40,36,11,40,N
25,41,65,25,16,95,0.2,16,30,475,8,31.7,3,12,6,6,16,14,7,7,N
143,305,405,154,122,695,1.7,24,290,4996.9,57,175.2,12,48,24,24,69,58,25,93,Y
17,31,66,19,21,102,0.2,17,36,535.3,2,36.7,2,8,4,4,11,10,5,9,N
18,35,46,20,28,80,0.1,13,34,428.6,2,54.3,3,12,6,6,14,12,7,12,N
33,102,104,40,35,172,0.3,19,68,989.8,30,53.6,5,20,10,10,26,22,11,31,Y
92,215,449,99,168,822,2.1,24,373,6234.8,46,234,3,12,6,6,15,13,7,62,Y
44,101,154,50,65,269,0.6,25,115,1746.3,14,79,6,24,12,12,30,25,13,36,Y
48,120,155,52,77,262,0.6,20,107,1729.2,28,124.4,6,24,12,12,33,28,13,39,N
127,240,494,131,128,753,1.8,26,259,5471.9,31,208,9,36,18,18,69,61,19,77,N
21,100,49,21,22,77,0.1,12,28,391.7,23,51.3,3,12,6,6,19,17,7,55,N
65,117,154,65,61,263,0.6,17,109,1653.1,34,108.8,11,42,21,20,46,36,23,17,N
32,54,118,33,46,214,0.4,18,96,1284,8,68.4,1,4,2,2,6,6,3,12,N
