PARAMETER_COUNT,HALSTEAD_LEVEL,NUM_OPERANDS,HALSTEAD_CONTENT,ESSENTIAL_DENSITY,HALSTEAD_VOLUME,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_PROG_TIME,MODIFIED_CONDITION_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUMBER_OF_LINES,DECISION_DENSITY,DESIGN_DENSITY,CYCLOMATIC_DENSITY,HALSTEAD_LENGTH,DECISION_COUNT,MULTIPLE_CONDITION_COUNT,NUM_UNIQUE_OPERATORS,LOC_EXECUTABLE,Defective
0,0.02,255,109.63,0.56,4607.96,42.03,193686.35,10760.35,10,0.16,166,2.11,0.69,0.2,666,18,19,30,128,N
0,0.06,60,55.65,0.0,953.92,17.14,16352.99,908.5,3,0.18,39,2.0,0.86,0.2,165,6,6,20,35,N
0,0.07,31,29.4,0.5,423.18,14.39,6090.84,338.38,1,0.21,24,2.0,0.8,0.22,89,2,2,13,23,N
0,0.04,137,80.76,0.44,2191.94,27.14,59492.48,3305.14,7,0.17,59,2.17,1.0,0.19,353,12,13,21,52,N
3,0.06,55,54.54,0.0,849.85,15.58,13243.53,735.75,6,0.28,25,2.0,1.0,0.32,153,12,12,17,22,N
3,0.03,90,42.06,0.0,1376.56,32.72,45051.12,2502.84,3,0.11,62,2.0,0.71,0.16,236,6,6,24,44,N
2,0.05,43,35.31,0.0,690.22,19.55,13490.6,749.48,5,0.19,31,2.0,0.83,0.27,128,10,10,20,22,N
2,0.06,36,33.69,0.0,545.78,16.2,8841.71,491.21,3,0.16,25,2.0,1.0,0.24,104,6,6,18,17,N
3,0.14,22,44.33,0.0,325.07,7.33,2383.85,132.44,3,0.29,14,2.0,1.0,0.33,70,6,6,10,12,N
1,0.05,54,44.43,0.0,817.88,18.41,15056.5,836.47,5,0.15,39,2.0,1.0,0.21,157,10,10,15,28,N
1,0.07,44,40.99,0.0,573.86,14.0,8034.06,446.34,2,0.17,18,2.0,1.0,0.2,111,4,4,14,15,N
2,0.07,50,45.77,0.0,686.53,15.0,10297.93,572.11,2,0.12,25,2.0,1.0,0.14,129,4,4,15,21,N
2,0.05,50,37.67,0.6,706.39,18.75,13244.88,735.83,5,0.24,25,2.25,0.67,0.29,131,8,9,18,21,N
3,0.02,208,70.89,0.52,3469.45,48.94,169799.06,9433.28,21,0.18,119,2.24,0.77,0.21,557,34,38,24,103,N
1,0.11,20,26.16,0.0,241.48,9.23,2229.05,123.84,2,0.21,14,2.0,1.0,0.25,52,4,4,12,12,N
1,0.13,12,18.67,0.0,144.0,7.71,1110.86,61.71,1,0.2,10,2.0,1.0,0.25,36,2,2,9,8,N
1,0.04,50,30.2,0.0,755.0,25.0,18875.0,1048.61,5,0.21,29,2.0,1.0,0.24,151,10,10,16,25,N
2,0.11,15,20.81,0.0,187.3,9.0,1685.67,93.65,1,0.22,9,2.0,1.0,0.25,42,2,2,12,8,N
2,0.21,7,16.32,0.0,76.15,4.67,355.35,19.74,1,0.4,5,2.0,1.0,0.5,20,2,2,8,4,N
2,0.06,44,39.49,0.0,671.25,17.0,11411.18,633.95,5,0.21,28,2.0,0.83,0.27,127,10,10,17,22,N
1,0.09,21,23.27,0.0,264.7,11.38,3010.96,167.28,2,0.23,13,2.0,1.0,0.27,57,4,4,13,11,N
3,0.02,175,69.47,0.69,2827.25,40.7,115062.64,6392.37,16,0.17,102,2.23,0.76,0.22,473,26,29,20,76,N
2,0.02,156,59.77,0.33,2533.7,42.39,107406.67,5967.04,9,0.11,89,2.13,0.9,0.15,412,16,17,25,64,N
0,0.05,139,122.92,0.6,2440.84,19.86,48468.15,2692.68,6,0.14,78,2.0,1.0,0.15,385,12,12,18,71,N
3,0.05,82,60.86,0.0,1338.91,22.0,29456.04,1636.45,8,0.25,44,2.6,0.73,0.28,224,10,13,22,39,N
1,0.07,56,50.08,0.0,701.17,14.0,9816.39,545.36,1,0.08,24,2.0,1.0,0.12,139,2,2,11,17,N
2,0.06,109,88.12,0.5,1600.77,18.17,29080.61,1615.59,2,0.1,67,2.0,0.71,0.13,271,4,4,15,54,N
2,0.05,194,151.9,0.6,3295.74,21.7,71508.8,3972.71,4,0.1,109,2.0,0.82,0.13,504,8,8,17,88,N
0,0.04,84,52.03,0.83,1248.77,24.0,29970.57,1665.03,4,0.17,42,2.33,1.0,0.23,216,6,7,20,30,N
1,0.12,18,26.84,0.0,219.62,8.18,1796.86,99.83,1,0.17,12,2.0,1.0,0.25,50,2,2,10,8,N
0,0.07,37,36.92,0.0,539.27,14.61,7876.2,437.57,1,0.17,23,2.0,0.75,0.2,106,2,2,15,20,N
0,0.07,27,29.26,0.67,395.0,13.5,5332.5,296.25,1,0.18,22,2.0,0.75,0.21,79,2,2,16,19,N
0,0.02,480,238.08,0.54,9702.9,40.75,395438.84,21968.82,11,0.12,310,2.1,0.94,0.15,1287,20,21,27,241,N
0,0.04,118,90.69,0.0,2043.07,22.53,46024.85,2556.94,4,0.1,91,2.0,1.0,0.15,327,8,8,21,61,N
0,0.1,16,20.33,0.0,198.81,9.78,1943.91,107.99,1,0.22,9,2.0,1.0,0.25,46,2,2,11,8,N
2,0.08,52,58.1,0.0,722.42,12.43,8983.13,499.06,2,0.13,24,2.0,1.0,0.16,142,4,4,11,19,N
0,0.1,16,20.33,0.0,198.81,9.78,1943.91,107.99,1,0.22,9,2.0,1.0,0.25,46,2,2,11,8,N
0,0.04,233,163.29,0.31,4102.97,25.13,103097.32,5727.63,9,0.1,144,2.0,0.64,0.13,590,18,18,22,102,N
1,0.05,62,46.09,0.29,952.63,20.67,19687.59,1093.75,3,0.2,40,2.0,0.75,0.22,179,6,6,16,36,N
1,0.14,14,28.67,0.67,200.67,7.0,1404.72,78.04,1,0.22,18,2.0,0.75,0.31,45,2,2,11,13,N
1,0.07,43,42.78,0.8,625.51,14.62,9144.94,508.05,5,0.15,39,3.5,1.0,0.33,116,4,8,17,18,N
1,0.14,14,28.67,0.67,200.67,7.0,1404.72,78.04,1,0.24,17,2.0,0.75,0.31,45,2,2,11,13,N
0,0.09,15,21.05,0.0,236.84,11.25,2664.41,148.02,1,0.29,14,2.0,0.75,0.31,51,2,2,15,13,N
0,0.09,16,24.11,0.0,280.54,11.64,3264.45,181.36,1,0.24,17,2.0,0.75,0.25,59,2,2,16,16,N
0,0.09,27,38.97,0.0,427.5,10.97,4689.17,260.51,3,0.21,29,2.0,1.0,0.26,88,6,6,13,23,N
2,0.08,34,35.51,0.0,435.97,12.28,5352.73,297.37,1,0.11,19,2.0,1.0,0.14,88,2,2,13,13,Y
0,0.02,166,75.75,0.67,3274.42,43.23,141550.33,7863.91,15,0.16,140,2.07,0.86,0.19,529,28,29,25,105,Y
1,0.07,24,25.4,0.0,348.39,13.71,4777.91,265.44,1,0.14,14,2.0,1.0,0.18,71,2,2,16,10,Y
1,0.08,73,99.17,0.57,1286.97,12.98,16702.0,927.89,3,0.13,60,2.0,0.75,0.19,217,6,6,16,41,Y
1,0.03,139,66.14,0.44,2517.35,38.06,95809.13,5322.73,11,0.15,117,2.1,0.82,0.19,418,20,21,23,88,Y
1,0.06,32,27.98,1.0,503.66,18.0,9065.86,503.66,2,0.16,19,3.0,1.0,0.18,99,2,3,18,16,Y
1,0.06,102,99.0,0.5,1776.48,17.94,31877.94,1771.0,4,0.12,73,2.0,0.78,0.17,287,8,8,19,52,Y
2,0.09,47,68.58,0.0,755.42,11.02,8321.46,462.3,1,0.13,32,2.0,1.0,0.17,136,2,2,15,23,Y
1,0.04,109,73.44,0.43,1854.76,25.26,46844.09,2602.45,10,0.16,94,2.11,1.0,0.21,314,18,19,19,66,Y
0,0.07,51,63.88,0.0,930.8,14.57,13563.07,753.5,2,0.14,36,2.0,0.4,0.19,161,4,4,20,27,Y
0,0.04,58,35.69,0.38,985.79,27.62,27226.57,1512.59,13,0.25,57,2.3,0.86,0.33,184,20,23,20,42,Y
1,0.04,110,69.77,0.55,1838.77,26.35,48459.37,2692.19,9,0.2,59,2.5,0.83,0.27,299,12,15,23,45,Y
1,0.07,30,33.38,0.5,475.69,14.25,6778.53,376.58,2,0.25,20,2.0,0.6,0.28,90,4,4,19,18,N
1,0.08,22,25.29,0.0,299.56,11.85,3548.61,197.14,1,0.17,12,2.0,1.0,0.22,63,2,2,14,9,N
0,0.08,22,25.29,0.0,299.56,11.85,3548.61,197.14,1,0.17,12,2.0,1.0,0.22,63,2,2,14,9,N
3,0.09,24,29.06,0.0,325.48,11.2,3645.43,202.52,1,0.17,12,2.0,1.0,0.22,67,2,2,14,9,N
1,0.03,219,102.5,0.12,3903.88,38.09,148686.82,8260.37,7,0.13,138,2.17,0.89,0.16,597,12,13,24,112,Y
1,0.05,79,64.58,0.4,1275.37,19.75,25188.5,1399.36,2,0.15,40,2.0,1.0,0.18,211,4,4,22,33,N
0,0.04,115,67.6,0.0,1665.74,24.64,41048.67,2280.48,1,0.13,61,2.0,0.75,0.16,282,2,2,18,51,N
1,0.12,21,31.89,0.0,272.05,8.53,2320.9,128.94,1,0.15,13,2.0,1.0,0.2,56,2,2,13,10,N
1,0.08,36,43.9,0.0,549.68,12.52,6882.97,382.39,2,0.19,26,2.0,0.8,0.21,104,4,4,16,24,N
0,0.05,79,55.99,0.0,1105.82,19.75,21840.0,1213.33,1,0.11,44,2.0,0.8,0.14,198,2,2,16,36,Y
0,0.06,144,139.4,0.0,2294.18,16.46,37755.59,2097.53,1,0.08,65,2.0,1.0,0.09,357,2,2,16,57,Y
2,0.05,152,123.35,0.0,2376.59,19.27,45791.28,2543.96,2,0.08,102,2.0,0.63,0.1,367,4,4,18,79,Y
0,0.04,263,189.82,0.29,4709.66,24.81,116852.98,6491.83,4,0.13,118,2.0,0.93,0.14,675,8,8,20,107,Y
0,0.02,556,195.9,0.45,10685.45,54.54,582830.35,32379.46,16,0.12,246,2.07,0.77,0.14,1413,30,31,31,211,Y
2,0.06,29,23.77,0.0,369.21,15.54,5735.89,318.66,2,0.18,17,2.0,1.0,0.23,76,4,4,15,13,N
0,0.05,135,115.54,0.0,2285.98,19.78,45226.86,2512.6,5,0.15,91,2.0,0.93,0.18,367,10,10,17,79,Y
1,0.14,8,14.83,0.0,103.78,7.0,726.48,40.36,2,0.4,5,3.0,1.0,0.5,30,2,3,7,4,N
0,0.09,64,71.77,0.0,795.04,11.08,8806.58,489.25,1,0.06,35,2.0,1.0,0.1,155,2,2,9,21,N
0,0.06,79,69.01,1.0,1168.28,16.93,19777.28,1098.74,3,0.08,51,2.0,1.0,0.11,207,6,6,15,37,N
0,0.04,161,116.42,0.38,2733.37,23.48,64177.21,3565.4,3,0.11,81,2.5,0.78,0.14,418,4,5,21,66,N
0,0.07,42,45.02,0.4,669.69,14.88,9961.7,553.43,3,0.16,37,2.0,0.83,0.18,125,6,6,17,33,N
0,0.05,34,26.27,1.0,510.32,19.43,9914.72,550.82,6,0.17,41,2.2,0.57,0.23,104,10,11,16,31,N
1,0.1,23,31.35,0.67,312.48,9.97,3114.36,173.02,3,0.27,15,2.5,0.5,0.29,65,4,5,13,14,N
0,0.06,66,48.56,0.0,836.07,17.22,14395.0,799.72,1,0.1,20,2.0,1.0,0.11,163,2,2,12,19,N
1,0.1,23,31.35,0.67,312.48,9.97,3114.36,173.02,3,0.27,15,2.5,0.5,0.29,65,4,5,13,14,N
1,0.1,24,34.38,0.67,335.2,9.75,3268.21,181.57,3,0.27,15,2.5,0.5,0.29,69,4,5,13,14,N
