LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,Defective
22,43,20,3,11,38,26,0.2,18,2.11,18,0.69,132,15,0.56,128,0,19,0.73,109.63,N
2,11,10,0,1,12,7,0.2,6,2.0,6,0.86,38,1,0.0,35,0,5,0.71,55.65,N
0,7,2,0,0,4,5,0.22,2,2.0,4,0.8,19,3,0.5,23,0,4,0.8,29.4,N
5,18,15,0,0,26,10,0.19,12,2.17,10,1.0,65,5,0.44,52,0,9,0.9,80.76,N
1,13,10,0,0,24,7,0.32,12,2.0,7,1.0,40,1,0.0,22,3,7,1.0,54.54,N
5,11,9,0,11,12,7,0.16,6,2.0,5,0.71,40,1,0.0,44,3,6,0.86,42.06,N
5,11,11,0,2,20,6,0.27,10,2.0,5,0.83,36,1,0.0,22,2,5,0.83,35.31,N
3,7,9,0,2,12,4,0.24,6,2.0,4,1.0,24,1,0.0,17,2,3,0.75,33.69,N
1,7,9,0,0,12,4,0.33,6,2.0,4,1.0,24,1,0.0,12,3,4,1.0,44.33,N
5,11,11,0,5,20,6,0.21,10,2.0,6,1.0,38,1,0.0,28,1,4,0.67,44.43,N
2,5,7,0,0,8,3,0.2,4,2.0,3,1.0,18,1,0.0,15,1,3,1.0,40.99,N
3,5,9,0,0,8,3,0.14,4,2.0,3,1.0,22,1,0.0,21,2,3,1.0,45.77,N
3,11,7,0,0,18,6,0.29,8,2.25,4,0.67,28,4,0.6,21,2,4,0.67,37.67,N
11,43,16,0,4,76,22,0.21,34,2.24,17,0.77,119,12,0.52,103,3,18,0.82,70.89,N
1,5,3,0,0,8,3,0.25,4,2.0,3,1.0,13,1,0.0,12,1,3,1.0,26.16,N
1,3,3,0,0,4,2,0.25,2,2.0,2,1.0,9,1,0.0,8,1,1,0.5,18.67,N
3,11,6,0,0,20,6,0.24,10,2.0,6,1.0,35,1,0.0,25,1,6,1.0,30.2,N
0,3,4,0,0,4,2,0.25,2,2.0,2,1.0,9,1,0.0,8,2,2,1.0,20.81,N
0,3,3,0,0,4,2,0.5,2,2.0,2,1.0,9,1,0.0,4,2,2,1.0,16.32,N
5,11,7,0,0,20,6,0.27,10,2.0,5,0.83,32,1,0.0,22,2,4,0.67,39.49,N
1,5,4,0,0,8,3,0.27,4,2.0,3,1.0,13,1,0.0,11,1,3,1.0,23.27,N
15,33,13,0,9,58,17,0.22,26,2.23,13,0.76,97,12,0.69,76,3,10,0.59,69.47,N
15,19,14,1,8,34,10,0.15,16,2.13,9,0.9,70,4,0.33,64,2,7,0.7,59.77,N
5,19,24,0,0,24,11,0.15,12,2.0,11,1.0,81,7,0.6,71,0,10,0.91,122.92,N
1,20,11,0,2,26,11,0.28,10,2.6,8,0.73,52,1,0.0,39,3,10,0.91,60.86,N
5,3,6,0,1,4,2,0.12,2,2.0,2,1.0,17,1,0.0,17,1,1,0.5,50.08,N
12,11,13,0,0,8,7,0.13,4,2.0,5,0.71,42,4,0.5,54,2,4,0.57,88.12,N
19,18,23,0,1,16,11,0.13,8,2.0,9,0.82,79,7,0.6,88,2,8,0.73,151.9,N
9,12,10,0,2,14,7,0.23,6,2.33,7,1.0,40,6,0.83,30,0,6,0.86,52.03,N
2,3,5,0,1,4,2,0.25,2,2.0,2,1.0,10,1,0.0,8,1,2,1.0,26.84,N
