HALSTEAD_EFFORT,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,HALSTEAD_LENGTH,NUM_OPERATORS,NUM_OPERANDS,NUMBER_OF_LINES,LOC_CODE_AND_COMMENT,EDGE_COUNT,HALSTEAD_CONTENT,LOC_COMMENTS,NUM_UNIQUE_OPERANDS,NODE_COUNT,CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,BRANCH_COUNT,DECISION_COUNT,HALSTEAD_DIFFICULTY,MODIFIED_CONDITION_COUNT,CALL_PAIRS,Defective
11846.2,658.12,411.64,91,54,37,20,14,14,14.3,0,9,12,12,6,7,6,28.78,3,1,N
11891.1,660.62,435.57,95,56,39,20,14,15,15.95,0,10,13,12,6,7,6,27.3,3,2,N
395.31,21.96,56.47,17,11,6,8,4,12,8.07,0,3,10,12,6,7,6,7.0,3,0,N
49.13,2.73,19.65,7,5,2,4,1,5,7.86,0,2,5,4,2,3,2,2.5,1,0,N
49.13,2.73,19.65,7,5,2,18,1,5,7.86,14,2,5,4,2,3,2,2.5,1,0,N
1298.85,72.16,96.21,26,14,12,10,5,7,7.13,0,4,7,4,2,3,2,13.5,1,1,N
1439.18,79.95,114.22,30,16,14,11,5,7,9.07,0,5,7,4,2,3,2,12.6,1,1,N
120.0,6.67,36.0,12,8,4,5,0,6,10.8,0,3,6,4,2,3,2,3.33,1,0,N
120.0,6.67,36.0,12,8,4,5,0,6,10.8,0,3,6,4,2,3,2,3.33,1,0,N
120.0,6.67,36.0,12,8,4,5,0,6,10.8,0,3,6,4,2,3,2,3.33,1,0,N
10714.74,595.26,580.0,116,62,54,34,26,21,31.4,1,19,19,12,6,7,6,18.47,3,6,N
10500.0,583.33,540.0,108,58,50,34,26,19,27.77,1,18,17,12,6,7,6,19.44,3,5,N
9376.55,520.91,456.65,94,50,44,30,21,17,22.24,1,15,15,12,6,7,6,20.53,3,3,N
8952.56,497.36,417.79,86,46,40,29,21,15,19.5,1,14,13,12,6,7,6,21.43,3,2,N
1243.35,69.07,111.01,30,16,14,11,6,7,9.91,0,5,7,4,2,3,2,11.2,1,2,N
1553.4,86.3,137.06,36,19,17,11,6,7,12.09,0,6,7,4,2,3,2,11.33,1,2,N
544.86,30.27,69.19,20,11,9,10,6,6,8.79,0,4,6,4,2,3,2,7.88,1,0,N
3715.08,206.39,348.29,75,43,32,17,10,10,32.65,0,15,10,4,2,3,2,10.67,1,6,N
3945.43,219.19,371.33,79,45,34,18,10,10,34.95,0,16,10,4,2,3,2,10.63,1,6,N
5230.38,290.58,380.39,80,40,40,18,12,17,27.66,0,16,16,8,4,5,4,13.75,2,6,N
3127.44,173.75,208.5,50,26,24,14,9,9,13.9,0,8,9,4,2,3,2,15.0,1,3,N
3832.57,212.92,246.38,58,30,28,14,9,9,15.84,0,9,9,4,2,3,2,15.56,1,3,N
1124.05,62.45,102.19,25,13,12,6,3,12,9.29,0,6,11,8,4,5,4,11.0,2,2,N
1150.01,63.89,112.59,27,14,13,7,3,12,11.02,0,7,11,8,4,5,4,10.21,2,2,N
1142.77,63.49,117.21,30,17,13,12,7,6,12.02,0,6,6,4,2,3,2,9.75,1,2,N
1138.58,63.25,132.83,34,19,15,12,7,7,15.5,0,7,7,4,2,3,2,8.57,1,3,N
4653.68,258.54,323.33,68,37,31,26,18,14,22.46,1,14,13,8,4,5,4,14.39,2,4,N
5069.44,281.64,313.82,66,36,30,26,18,13,19.43,1,13,12,8,4,5,4,16.14,2,3,N
3381.36,187.85,226.18,50,27,23,23,14,11,15.13,1,10,10,8,4,5,4,14.95,2,1,N
3092.19,171.79,210.83,48,26,22,22,14,10,14.37,1,9,9,8,4,5,4,14.67,2,0,N
2182.44,121.25,183.4,40,23,17,13,8,10,15.41,0,10,9,8,4,5,4,11.9,2,1,N
2139.14,118.84,171.9,38,22,16,12,7,10,13.81,0,9,9,8,4,5,4,12.44,2,1,N
1560.0,86.67,117.0,39,23,16,16,13,20,8.78,0,3,16,20,10,11,10,13.33,5,0,N
2563.7,142.43,162.77,49,28,21,16,13,25,10.33,0,4,21,20,10,11,10,15.75,5,1,N
25506.03,1417.0,1051.8,199,102,97,46,35,30,43.37,0,26,27,14,7,9,6,24.25,4,10,N
27844.43,1546.91,1122.93,211,108,103,46,35,30,45.29,0,27,27,14,7,9,6,24.8,4,10,N
14143.26,785.74,404.09,92,57,35,26,16,25,11.55,0,7,20,24,12,13,12,35.0,6,1,N
12076.68,670.93,412.88,94,58,36,27,16,26,14.12,0,8,21,24,12,13,12,29.25,6,2,N
5158.22,286.57,272.28,63,32,31,16,8,8,14.37,2,9,8,4,2,3,2,18.94,1,2,N
