HALSTEAD_LEVEL,PARAMETER_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,NUM_UNIQUE_OPERATORS,LOC_EXECUTABLE,NODE_COUNT,ESSENTIAL_COMPLEXITY,DESIGN_COMPLEXITY,BRANCH_COUNT,CALL_PAIRS,NORMALIZED_CYLOMATIC_COMPLEXITY,MODIFIED_CONDITION_COUNT,DECISION_COUNT,MAINTENANCE_SEVERITY,MULTIPLE_CONDITION_COUNT,CONDITION_COUNT,DESIGN_DENSITY,LOC_COMMENTS,NUM_UNIQUE_OPERANDS,Defective
0.03,4,4,0.24,14,3,12,1,1,7,1,0.2,3,6,0.25,6,12,0.25,0,9,N
0.04,5,4,0.24,14,3,13,1,2,7,2,0.2,3,6,0.25,6,12,0.5,0,10,N
0.14,3,4,0.8,7,1,10,1,1,7,0,0.5,3,6,0.25,6,12,0.25,0,3,N
0.4,3,2,1.0,5,1,5,1,1,3,0,0.5,1,2,0.5,2,4,0.5,0,2,N
0.4,3,2,1.0,5,1,5,1,1,3,0,0.11,1,2,0.5,2,4,0.5,14,2,N
0.07,3,2,0.29,9,2,7,1,2,3,1,0.2,1,2,0.5,2,4,1.0,0,4,N
0.08,4,2,0.29,9,2,7,1,2,3,1,0.18,1,2,0.5,2,4,1.0,0,5,N
0.3,4,2,1.0,5,2,6,1,1,3,0,0.4,1,2,0.5,2,4,0.5,0,3,N
0.3,4,2,1.0,5,2,6,1,1,3,0,0.4,1,2,0.5,2,4,0.5,0,3,N
0.3,4,2,1.0,5,2,6,1,1,3,0,0.4,1,2,0.5,2,4,0.5,0,3,N
0.05,5,4,0.13,13,4,19,4,4,7,6,0.12,3,6,1.0,6,12,1.0,1,19,N
0.05,4,4,0.13,14,4,17,4,3,7,5,0.12,3,6,1.0,6,12,0.75,1,18,N
0.05,5,4,0.16,14,4,15,4,4,7,3,0.13,3,6,1.0,6,12,1.0,1,15,N
0.05,4,4,0.16,15,4,13,4,2,7,2,0.14,3,6,1.0,6,12,0.5,1,14,N
0.09,2,2,0.25,8,2,7,1,2,3,2,0.18,1,2,0.5,2,4,1.0,0,5,N
0.09,3,2,0.25,8,2,7,1,2,3,2,0.18,1,2,0.5,2,4,1.0,0,6,N
0.13,2,2,0.25,7,2,6,1,1,3,0,0.2,1,2,0.5,2,4,0.5,0,4,N
0.09,7,2,0.17,10,2,10,1,2,3,6,0.12,1,2,0.5,2,4,1.0,0,15,N
0.09,8,2,0.17,10,2,10,1,2,3,6,0.11,1,2,0.5,2,4,1.0,0,16,N
0.07,4,3,0.23,11,1,16,1,2,5,6,0.17,2,4,0.33,4,8,0.67,0,16,N
0.07,2,2,0.18,10,2,9,1,2,3,3,0.14,1,2,0.5,2,4,1.0,0,8,N
0.06,3,2,0.18,10,2,9,1,2,3,3,0.14,1,2,0.5,2,4,1.0,0,9,N
0.09,2,3,0.75,11,1,11,1,2,5,2,0.5,2,4,0.33,4,8,0.67,0,6,N
0.1,3,3,0.75,11,1,11,1,2,5,2,0.43,2,4,0.33,4,8,0.67,0,7,N
0.1,3,2,0.22,9,2,6,1,2,3,2,0.17,1,2,0.5,2,4,1.0,0,6,N
0.12,4,2,0.22,8,2,7,1,2,3,3,0.17,1,2,0.5,2,4,1.0,0,7,N
0.07,5,3,0.14,13,3,13,1,2,5,4,0.12,2,4,0.33,4,8,0.67,1,14,N
0.06,4,3,0.14,14,3,12,1,2,5,3,0.12,2,4,0.33,4,8,0.67,1,13,N
0.07,5,3,0.18,13,3,10,1,2,5,1,0.13,2,4,0.33,4,8,0.67,1,10,N
0.07,4,3,0.18,12,3,9,1,1,5,0,0.14,2,4,0.33,4,8,0.33,1,9,N
0.08,5,3,0.3,14,2,9,3,2,5,1,0.23,2,4,1.0,4,8,0.67,0,10,N
0.08,4,3,0.33,14,2,9,3,2,5,1,0.25,2,4,1.0,4,8,0.67,0,9,N
0.08,3,6,0.43,5,1,16,1,1,11,0,0.38,5,10,0.17,10,20,0.17,0,3,N
0.06,4,6,0.43,6,1,21,1,4,11,1,0.38,5,10,0.17,10,20,0.67,0,4,N
0.04,8,5,0.12,13,6,27,3,4,9,10,0.11,4,6,0.6,7,14,0.8,0,26,N
0.04,9,5,0.12,13,6,27,3,4,9,10,0.11,4,6,0.6,7,14,0.8,0,27,N
0.03,5,7,0.35,14,4,20,7,5,13,1,0.27,6,12,1.0,12,24,0.71,0,7,N
0.03,6,7,0.35,13,4,21,7,7,13,2,0.26,6,12,1.0,12,24,1.0,0,8,N
0.05,4,2,0.2,11,2,8,1,2,3,2,0.13,1,2,0.5,2,4,1.0,2,9,N
0.06,5,2,0.2,11,2,8,1,2,3,2,0.12,1,2,0.5,2,4,1.0,2,10,N
0.09,5,2,0.17,9,2,8,1,2,3,2,0.11,1,2,0.5,2,4,1.0,2,10,N
0.09,6,2,0.17,9,2,8,1,2,3,2,0.11,1,2,0.5,2,4,1.0,2,11,N
0.03,5,6,0.18,16,4,27,3,4,11,8,0.16,5,8,0.5,9,18,0.67,0,21,N
0.04,6,6,0.18,15,4,28,3,5,11,9,0.16,5,8,0.5,9,18,0.83,0,22,N
0.07,4,3,0.25,14,2,11,1,2,5,3,0.2,2,4,0.33,4,8,0.67,0,11,N
0.06,5,3,0.25,14,2,11,1,2,5,3,0.2,2,4,0.33,4,8,0.67,0,12,N
0.11,4,3,0.5,8,1,12,1,2,5,4,0.33,2,4,0.33,4,8,0.67,0,9,N
0.1,5,3,0.5,8,1,13,1,3,5,5,0.33,2,4,0.33,4,8,1.0,0,10,N
0.05,7,6,0.38,14,2,18,4,4,11,4,0.27,5,8,0.67,9,18,0.67,0,12,N
0.05,6,6,0.38,15,2,17,4,3,11,3,0.27,5,8,0.67,9,18,0.5,0,11,N
0.06,4,3,0.33,12,2,7,3,1,5,0,0.25,2,2,1.0,3,6,0.33,0,7,N
0.06,5,3,0.33,13,2,8,3,2,5,1,0.25,2,2,1.0,3,6,0.67,0,8,N
0.05,3,3,0.18,14,4,10,1,3,5,3,0.15,2,4,0.33,4,8,1.0,0,10,N
0.05,4,3,0.18,14,4,10,1,3,5,3,0.15,2,4,0.33,4,8,1.0,0,11,N
0.08,3,3,0.75,12,1,11,1,2,5,2,0.43,2,4,0.33,4,8,0.67,0,7,N
0.09,2,4,0.67,11,1,9,4,2,7,1,0.44,3,4,1.0,5,10,0.5,0,4,N
0.15,2,2,1.0,8,1,6,1,2,3,1,0.4,1,2,0.5,2,4,1.0,0,3,N
0.07,4,4,0.33,10,3,15,3,2,7,1,0.27,3,6,0.75,6,12,0.5,0,5,N
0.12,4,2,0.4,8,1,8,1,2,3,3,0.22,1,2,0.5,2,4,1.0,0,7,N
0.06,7,4,0.2,10,4,14,3,3,7,4,0.15,3,4,0.75,5,10,0.75,0,12,N
0.05,5,3,0.21,12,2,9,1,1,5,0,0.18,2,4,0.33,4,8,0.33,0,7,N
0.04,7,6,0.27,18,3,21,5,2,11,3,0.21,5,10,0.83,10,20,0.33,3,14,N
0.04,6,6,0.27,17,3,20,5,1,11,2,0.21,5,10,0.83,10,20,0.17,3,13,N
0.04,5,7,0.3,19,3,18,7,1,13,2,0.23,6,10,1.0,11,22,0.14,4,13,N
0.04,6,7,0.3,20,3,19,7,2,13,3,0.23,6,10,1.0,11,22,0.29,4,14,N
0.12,5,2,0.18,9,1,9,1,2,3,5,0.13,1,2,0.5,2,4,1.0,0,13,N
0.03,8,8,0.18,19,7,31,4,4,15,7,0.15,7,12,0.5,13,26,0.5,0,22,N
0.16,4,2,0.29,7,1,10,1,2,3,5,0.15,1,2,0.5,2,4,1.0,1,11,N
0.09,4,2,0.18,10,2,10,1,2,3,6,0.13,1,2,0.5,2,4,1.0,0,12,N
0.09,5,2,0.18,10,2,10,1,2,3,6,0.13,1,2,0.5,2,4,1.0,0,13,N
0.05,5,2,0.13,11,3,9,1,2,3,3,0.11,1,2,0.5,2,4,1.0,0,13,N
0.05,6,2,0.12,11,3,9,1,2,3,3,0.1,1,2,0.5,2,4,1.0,0,14,N
0.18,3,2,0.67,7,1,8,1,2,3,1,0.33,1,2,0.5,2,4,1.0,0,5,N
0.19,4,2,0.67,7,1,8,1,2,3,1,0.29,1,2,0.5,2,4,1.0,0,6,N
0.09,2,2,0.22,7,2,6,1,1,3,0,0.18,1,2,0.5,2,4,0.5,0,3,N
0.09,3,2,0.22,8,2,7,1,2,3,1,0.18,1,2,0.5,2,4,1.0,0,4,N
0.05,3,5,0.5,13,2,15,3,2,9,1,0.36,4,8,0.6,8,16,0.4,0,5,N
0.05,4,5,0.5,13,2,17,3,5,9,2,0.36,4,8,0.6,8,16,1.0,0,6,N
0.07,3,3,0.6,9,1,7,1,1,5,0,0.38,2,4,0.33,4,8,0.33,0,3,N
0.07,4,3,0.6,12,1,8,1,2,5,1,0.3,2,4,0.33,4,8,0.67,0,4,N
0.06,5,3,0.25,12,3,8,1,2,5,1,0.19,2,4,0.33,4,8,0.67,0,5,N
0.07,4,3,0.25,9,3,7,1,1,5,0,0.2,2,4,0.33,4,8,0.33,0,4,N
0.07,5,3,0.15,13,3,13,1,2,5,4,0.12,2,4,0.33,4,8,0.67,1,14,N
0.06,4,3,0.14,14,3,12,1,2,5,3,0.12,2,4,0.33,4,8,0.67,1,13,N
0.07,5,3,0.19,13,3,10,1,2,5,1,0.14,2,4,0.33,4,8,0.67,1,10,N
0.07,4,3,0.18,12,3,9,1,1,5,0,0.14,2,4,0.33,4,8,0.33,1,9,N
0.17,1,2,1.0,6,1,6,1,1,3,0,0.5,1,2,0.5,2,4,0.5,0,2,N
0.12,1,3,0.75,9,1,12,1,3,5,4,0.5,2,4,0.33,4,8,1.0,0,7,N
0.05,2,4,0.44,10,2,11,4,1,7,0,0.36,3,6,1.0,6,12,0.25,0,3,N
0.05,3,4,0.44,12,2,12,4,2,7,1,0.33,3,6,1.0,6,12,0.5,0,4,N
0.16,2,2,0.25,11,2,7,1,2,3,2,0.14,1,2,0.5,2,4,1.0,4,9,N
0.16,2,2,0.25,11,2,7,1,2,3,2,0.14,1,2,0.5,2,4,1.0,4,9,N
0.08,3,3,0.5,14,1,16,1,3,5,7,0.18,2,4,0.33,4,8,1.0,6,13,N
0.22,1,2,0.67,6,1,9,1,2,3,4,0.4,1,2,0.5,2,4,1.0,0,6,N
0.12,3,2,0.5,11,1,10,1,2,3,5,0.22,1,2,0.5,2,4,1.0,0,10,N
0.19,1,2,0.67,9,1,6,1,2,3,2,0.4,1,2,0.5,2,4,1.0,0,6,N
0.19,1,2,0.67,9,1,6,1,2,3,2,0.4,1,2,0.5,2,4,1.0,0,6,N
0.11,1,2,0.67,9,1,8,1,2,3,2,0.4,1,2,0.5,2,4,1.0,0,5,N
0.08,4,3,0.43,15,1,15,1,2,5,7,0.2,2,4,0.33,4,8,0.67,2,16,N
0.12,2,2,0.33,10,1,9,1,2,3,5,0.17,1,2,0.5,2,4,1.0,2,11,N
0.16,3,2,0.4,10,1,10,1,2,3,4,0.22,1,2,0.5,2,4,1.0,0,8,N
0.13,3,2,0.4,10,1,8,1,2,3,4,0.17,1,2,0.5,2,4,1.0,2,10,N
0.1,3,3,0.6,13,1,11,1,3,5,4,0.25,2,4,0.33,4,8,1.0,2,11,N
0.25,0,2,0.5,6,1,11,1,2,3,6,0.25,1,2,0.5,2,4,1.0,2,3,N
0.18,1,3,0.75,8,1,13,3,3,5,7,0.38,2,2,1.0,3,6,1.0,2,5,N
0.09,3,4,2.0,8,1,7,3,1,7,0,1.0,4,2,0.75,7,10,0.25,0,3,N
0.33,2,1,0.5,6,1,3,1,1,1,1,0.2,1,2,1.0,2,4,1.0,0,3,N
0.11,3,2,0.67,11,1,6,1,1,3,1,0.33,2,2,0.5,3,6,0.5,0,5,N
0.13,4,2,0.67,9,1,6,1,2,3,2,0.33,2,2,0.5,3,6,1.0,0,6,N
0.09,1,3,0.38,12,2,13,3,3,5,6,0.3,2,2,1.0,3,6,1.0,0,8,N
0.07,3,4,0.44,17,1,17,1,2,7,5,0.22,3,6,0.25,6,12,0.5,4,15,N
0.04,3,9,0.23,15,6,29,3,3,17,2,0.2,8,16,0.33,16,32,0.33,0,15,N
0.13,3,2,0.4,11,1,9,1,2,3,4,0.22,1,2,0.5,2,4,1.0,0,11,N
0.15,3,2,0.67,8,1,5,1,1,3,0,0.33,1,2,0.5,2,4,0.5,0,3,N
0.15,3,2,0.67,8,1,5,1,1,3,0,0.29,1,2,0.5,2,4,0.5,0,3,N
0.2,4,3,1.0,8,1,7,1,1,5,0,0.6,2,4,0.33,4,8,0.33,0,4,N
0.2,4,3,1.0,8,1,8,1,2,5,1,0.5,2,4,0.33,4,8,0.67,0,4,N
0.21,0,2,1.0,7,1,7,1,1,3,1,0.5,1,2,0.5,2,4,0.5,0,3,N
0.2,2,2,0.33,6,2,6,1,2,3,1,0.25,1,2,0.5,2,4,1.0,0,3,N
0.11,1,2,0.5,12,1,5,1,1,3,0,0.33,1,2,0.5,2,4,0.5,0,2,N
0.21,0,2,1.0,7,1,7,1,2,3,2,0.5,1,2,0.5,2,4,1.0,0,3,N
0.13,1,4,0.8,11,1,11,1,2,7,2,0.57,3,6,0.25,6,12,0.5,0,9,N
0.21,3,2,1.0,7,1,5,1,1,3,0,0.5,1,2,0.5,2,4,0.5,0,3,N
0.18,3,2,0.67,9,1,5,1,1,3,0,0.4,1,2,0.5,2,4,0.5,0,4,N
0.07,2,5,0.31,16,4,21,5,5,9,3,0.21,4,8,1.0,8,16,1.0,4,12,N
0.03,2,7,0.21,22,5,32,7,5,13,4,0.19,6,6,1.0,9,18,0.71,1,13,N
0.13,3,3,0.75,8,1,6,3,1,5,0,0.5,2,2,1.0,3,6,0.33,0,3,N
0.09,4,2,0.22,9,2,8,1,2,3,1,0.14,1,2,0.5,2,4,1.0,0,7,N
0.09,5,2,0.22,9,2,8,1,2,3,1,0.13,1,2,0.5,2,4,1.0,0,8,N
0.1,2,5,0.31,13,4,20,5,5,9,3,0.24,4,8,1.0,8,16,1.0,1,12,N
0.12,2,4,0.5,10,2,16,4,4,7,3,0.31,3,6,1.0,6,12,1.0,1,9,N
0.11,4,3,0.33,10,2,9,3,2,5,1,0.25,2,4,1.0,4,8,0.67,0,6,N
0.12,5,3,0.33,10,2,10,3,2,5,2,0.23,2,4,1.0,4,8,0.67,0,8,N
0.1,3,3,1.0,10,1,7,3,2,5,1,0.6,2,2,1.0,3,6,0.67,0,3,N
0.07,2,6,0.35,17,4,25,5,4,11,4,0.26,5,10,0.83,10,20,0.67,2,15,N
0.08,2,5,0.56,14,2,21,4,5,9,4,0.33,4,8,0.8,8,16,1.0,2,12,N
0.07,2,4,0.36,14,2,20,4,4,7,4,0.29,3,6,1.0,6,12,1.0,0,10,N
0.04,2,4,0.27,18,3,25,3,2,7,5,0.22,3,6,0.75,6,12,0.5,0,12,N
0.05,2,4,0.36,16,2,20,4,4,7,4,0.29,3,6,1.0,6,12,1.0,0,10,N
0.19,1,2,0.5,8,1,8,1,1,3,2,0.33,1,2,0.5,2,4,0.5,0,6,N
0.15,3,2,0.67,8,1,6,1,2,3,1,0.4,1,2,0.5,2,4,1.0,0,3,N
0.19,3,2,1.0,8,1,6,1,2,3,1,0.5,1,2,0.5,2,4,1.0,0,3,N
0.16,3,2,0.67,10,1,6,1,2,3,1,0.4,1,2,0.5,2,4,1.0,0,4,N
0.09,2,2,0.4,13,1,6,1,1,3,1,0.29,1,2,0.5,2,4,0.5,0,6,N
0.07,3,5,0.24,12,3,19,4,4,9,5,0.2,4,8,0.8,8,16,0.8,2,9,N
0.04,3,3,0.18,20,2,18,1,2,5,7,0.1,2,4,0.33,4,8,0.67,8,10,N
0.06,4,5,0.45,12,2,12,4,1,9,0,0.36,4,6,0.8,7,14,0.2,0,5,N
