BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,Defective
7,1,14,0,12,4,0.24,6,2.0,1,0.25,14,1,0,3,4,14.3,28.78,11846.2,0.14,N
7,2,14,0,12,4,0.24,6,2.0,2,0.5,15,1,0,3,5,15.95,27.3,11891.1,0.15,N
7,0,4,0,12,4,0.8,6,2.0,1,0.25,12,1,0,1,3,8.07,7.0,395.31,0.02,N
3,0,1,0,4,2,1.0,2,2.0,1,0.5,5,1,0,1,3,7.86,2.5,49.13,0.01,N
3,0,1,14,4,2,1.0,2,2.0,1,0.5,5,1,0,1,3,7.86,2.5,49.13,0.01,N
3,1,5,0,4,2,0.29,2,2.0,2,1.0,7,1,0,2,3,7.13,13.5,1298.85,0.03,N
3,1,5,0,4,2,0.29,2,2.0,2,1.0,7,1,0,2,4,9.07,12.6,1439.18,0.04,N
3,0,0,0,4,2,1.0,2,2.0,1,0.5,6,1,0,2,4,10.8,3.33,120.0,0.01,N
3,0,0,0,4,2,1.0,2,2.0,1,0.5,6,1,0,2,4,10.8,3.33,120.0,0.01,N
3,0,0,0,4,2,1.0,2,2.0,1,0.5,6,1,0,2,4,10.8,3.33,120.0,0.01,N
7,6,26,1,12,4,0.13,6,2.0,4,1.0,21,4,1,4,5,31.4,18.47,10714.74,0.19,N
7,5,26,1,12,4,0.13,6,2.0,3,0.75,19,4,1,4,4,27.77,19.44,10500.0,0.18,N
7,3,21,1,12,4,0.16,6,2.0,4,1.0,17,4,1,4,5,22.24,20.53,9376.55,0.15,N
7,2,21,1,12,4,0.16,6,2.0,2,0.5,15,4,1,4,4,19.5,21.43,8952.56,0.14,N
3,2,6,0,4,2,0.25,2,2.0,2,1.0,7,1,0,2,2,9.91,11.2,1243.35,0.04,N
3,2,6,0,4,2,0.25,2,2.0,2,1.0,7,1,0,2,3,12.09,11.33,1553.4,0.05,N
3,0,6,0,4,2,0.25,2,2.0,1,0.5,6,1,0,2,2,8.79,7.88,544.86,0.02,N
3,6,10,0,4,2,0.17,2,2.0,2,1.0,10,1,0,2,7,32.65,10.67,3715.08,0.12,N
3,6,10,0,4,2,0.17,2,2.0,2,1.0,10,1,0,2,8,34.95,10.63,3945.43,0.12,N
5,6,12,0,8,3,0.23,4,2.0,2,0.67,17,1,0,1,4,27.66,13.75,5230.38,0.13,N
3,3,9,0,4,2,0.18,2,2.0,2,1.0,9,1,0,2,2,13.9,15.0,3127.44,0.07,N
3,3,9,0,4,2,0.18,2,2.0,2,1.0,9,1,0,2,3,15.84,15.56,3832.57,0.08,N
5,2,3,0,8,3,0.75,4,2.0,2,0.67,12,1,0,1,2,9.29,11.0,1124.05,0.03,N
5,2,3,0,8,3,0.75,4,2.0,2,0.67,12,1,0,1,3,11.02,10.21,1150.01,0.04,N
3,2,7,0,4,2,0.22,2,2.0,2,1.0,6,1,0,2,3,12.02,9.75,1142.77,0.04,N
