CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,EDGE_COUNT,MAINTENANCE_SEVERITY,HALSTEAD_EFFORT,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,PARAMETER_COUNT,HALSTEAD_CONTENT,NODE_COUNT,NUM_UNIQUE_OPERATORS,HALSTEAD_VOLUME,CALL_PAIRS,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_UNIQUE_OPERANDS,LOC_EXECUTABLE,NUM_OPERATORS,HALSTEAD_DIFFICULTY,CYCLOMATIC_DENSITY,Defective
8,5,35,0.13,9265.54,0.07,514.75,0,43.42,29,16,634.25,9,0.11,42,23,32,78,14.61,0.22,Y
1,1,3,1.0,1446.79,0.1,80.38,0,14.47,4,10,144.68,2,0.06,8,4,7,30,10.0,0.14,N
2,2,9,0.5,1439.2,0.11,79.96,0,17.77,9,12,159.91,2,0.08,12,8,10,25,9.0,0.2,N
2,2,9,0.5,1478.1,0.11,82.12,0,18.25,9,12,164.23,2,0.07,12,8,10,26,9.0,0.2,N
1,1,1,1.0,186.03,0.21,10.33,0,8.54,2,7,39.86,0,0.1,4,3,4,8,4.67,0.25,N
1,1,5,1.0,350.28,0.25,19.46,1,21.89,6,7,87.57,4,0.05,8,7,8,15,4.0,0.13,N
2,2,8,0.5,3306.02,0.1,183.67,1,33.28,8,13,331.71,4,0.06,23,15,10,46,9.97,0.11,Y
1,1,2,1.0,271.98,0.24,15.11,1,16.3,3,7,66.61,1,0.07,7,6,6,11,4.08,0.17,N
1,1,2,1.0,843.89,0.15,46.88,1,18.52,3,9,125.02,1,0.07,9,6,7,23,6.75,0.14,N
3,1,9,1.0,3916.37,0.07,217.58,1,20.8,8,13,285.4,1,0.11,19,9,17,45,13.72,0.17,N
1,1,2,1.0,104.61,0.33,5.81,1,11.62,3,6,34.87,1,0.09,3,3,2,8,3.0,0.33,Y
2,1,7,0.5,2514.4,0.1,139.69,1,23.3,7,11,242.03,1,0.08,17,9,16,39,10.39,0.12,Y
1,1,2,1.0,1470.86,0.12,81.71,1,21.06,3,9,176.0,1,0.05,13,7,10,31,8.36,0.1,N
1,1,3,1.0,735.95,0.16,40.89,1,19.22,4,11,118.94,2,0.07,9,8,6,19,6.19,0.17,N
1,1,2,1.0,1470.86,0.12,81.71,1,21.06,3,9,176.0,1,0.05,13,7,10,31,8.36,0.1,N
1,1,2,1.0,791.15,0.15,43.95,1,17.36,3,9,117.21,1,0.07,9,6,7,21,6.75,0.14,N
1,1,3,1.0,1319.22,0.14,73.29,1,25.29,4,10,182.66,2,0.06,13,9,8,30,7.22,0.13,N
2,1,6,0.5,2409.37,0.1,133.85,1,22.66,6,11,233.64,1,0.11,15,8,9,40,10.31,0.2,Y
2,1,6,0.5,2703.0,0.08,150.17,1,19.46,6,11,229.35,1,0.11,15,7,10,40,11.79,0.2,N
1,1,3,1.0,710.97,0.18,39.5,1,23.5,4,9,129.27,2,0.07,11,9,7,20,5.5,0.14,N
3,3,10,0.33,1712.42,0.1,95.13,0,18.58,9,12,178.38,2,0.17,16,10,12,24,9.6,0.25,N
2,2,6,0.5,399.66,0.23,22.2,4,20.23,6,8,89.92,2,0.11,10,9,7,12,4.44,0.25,N
2,2,6,0.5,399.66,0.23,22.2,4,20.23,6,8,89.92,2,0.11,10,9,8,12,4.44,0.25,N
3,2,12,1.0,17051.32,0.03,947.3,3,18.24,11,15,557.65,3,0.08,53,13,24,63,30.58,0.12,Y
1,1,2,1.0,594.0,0.18,33.0,3,19.64,3,8,108.0,1,0.05,11,8,7,16,5.5,0.11,N
2,2,8,0.5,1444.3,0.11,80.24,3,16.19,8,10,152.93,2,0.12,17,9,8,19,9.44,0.25,N
2,2,8,0.5,790.81,0.23,43.93,4,40.24,8,7,178.38,4,0.08,19,15,10,21,4.43,0.2,N
2,1,6,0.5,4470.34,0.07,248.35,6,20.48,6,13,302.61,0,0.07,25,11,14,41,14.77,0.13,Y
4,4,15,0.25,3988.08,0.07,221.56,0,21.59,13,13,293.44,2,0.13,23,11,2,41,13.59,0.18,Y
2,1,6,0.5,644.64,0.13,35.81,3,11.46,6,9,85.95,0,0.14,10,6,7,12,7.5,0.29,N
4,4,16,0.25,11272.23,0.05,626.23,0,23.42,14,18,513.83,3,0.09,39,16,26,62,21.94,0.15,Y
4,4,16,0.25,11272.23,0.05,626.23,0,23.42,14,18,513.83,3,0.09,39,16,26,62,21.94,0.15,N
4,4,16,0.25,11272.23,0.05,626.23,0,23.42,14,18,513.83,3,0.09,39,16,26,62,21.94,0.15,Y
1,1,1,1.0,23.22,0.5,1.29,0,5.8,2,4,11.61,0,0.2,1,1,2,4,2.0,0.5,N
1,1,1,1.0,157.4,0.29,8.74,4,12.85,2,7,44.97,0,0.08,4,4,3,9,3.5,0.33,N
1,1,1,1.0,4795.77,0.06,266.43,3,20.15,2,6,310.84,0,0.05,36,7,11,48,15.43,0.09,N
