LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,Defective
22,15,9,4,11,26,8,0.22,12,2.17,5,0.63,35,1,0.0,32,0,43.42,14.61,9265.54,Y
7,1,2,0,2,0,1,0.14,0,0.0,1,1.0,3,1,0.0,7,0,14.47,10.0,1446.79,N
10,3,2,0,2,4,2,0.2,2,2.0,2,1.0,9,1,0.0,10,0,17.77,9.0,1439.2,N
9,3,2,0,6,4,2,0.2,2,2.0,2,1.0,9,1,0.0,10,0,18.25,9.0,1478.1,N
3,1,0,0,0,0,1,0.25,0,0.0,1,1.0,1,1,0.0,4,0,8.54,4.67,186.03,N
9,1,4,0,3,0,1,0.13,0,0.0,1,1.0,5,1,0.0,8,1,21.89,4.0,350.28,N
8,3,4,9,5,4,2,0.11,2,2.0,2,1.0,8,1,0.0,10,1,33.28,9.97,3306.02,Y
5,1,1,0,1,0,1,0.17,0,0.0,1,1.0,2,1,0.0,6,1,16.3,4.08,271.98,N
5,1,1,0,1,0,1,0.14,0,0.0,1,1.0,2,1,0.0,7,1,18.52,6.75,843.89,N
6,5,1,1,1,6,3,0.17,2,3.0,1,0.33,9,3,1.0,17,1,20.8,13.72,3916.37,N
4,1,1,1,2,0,1,0.33,0,0.0,1,1.0,2,1,0.0,2,1,11.62,3.0,104.61,Y
6,3,1,1,1,4,2,0.12,2,2.0,1,0.5,7,1,0.0,16,1,23.3,10.39,2514.4,Y
6,1,1,0,1,0,1,0.1,0,0.0,1,1.0,2,1,0.0,10,1,21.06,8.36,1470.86,N
5,1,2,0,1,0,1,0.17,0,0.0,1,1.0,3,1,0.0,6,1,19.22,6.19,735.95,N
7,1,1,0,1,0,1,0.1,0,0.0,1,1.0,2,1,0.0,10,1,21.06,8.36,1470.86,N
5,1,1,0,1,0,1,0.14,0,0.0,1,1.0,2,1,0.0,7,1,17.36,6.75,791.15,N
