DECISION_DENSITY,PERCENT_COMMENTS,MAINTENANCE_SEVERITY,DESIGN_DENSITY,LOC_CODE_AND_COMMENT,NUM_UNIQUE_OPERATORS,HALSTEAD_LEVEL,NUMBER_OF_LINES,LOC_TOTAL,LOC_BLANK,HALSTEAD_DIFFICULTY,CALL_PAIRS,PARAMETER_COUNT,LOC_EXECUTABLE,ESSENTIAL_DENSITY,LOC_COMMENTS,MODIFIED_CONDITION_COUNT,CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,DECISION_COUNT,Defective
2.2,31.9,0.1,0.6,4,16,0.1,71,36,22,14.6,9,0,32,0,11,7,26,13,12,Y
0,22.2,1,1,0,10,0.1,18,7,7,10,2,0,7,0,2,0,0,0,0,N
2,16.7,0.5,1,0,12,0.1,24,10,10,9,2,0,10,0,2,1,4,2,2,N
2,37.5,0.5,1,0,12,0.1,27,10,9,9,2,0,10,0,6,1,4,2,2,N
0,0,1,1,0,7,0.2,10,4,3,4.7,0,0,4,0,0,0,0,0,0,N
0,27.3,1,1,0,7,0.3,22,8,9,4,4,1,8,0,3,0,0,0,0,N
2,58.3,0.5,1,9,13,0.1,34,19,8,10,4,1,10,0,5,1,4,2,2,Y
0,14.3,1,1,0,7,0.2,14,6,5,4.1,1,1,6,0,1,0,0,0,0,N
0,12.5,1,1,0,9,0.2,15,7,5,6.8,1,1,7,0,1,0,0,0,0,N
3,10.5,1,0.3,1,13,0.1,27,18,6,13.7,1,1,17,1,1,2,6,3,2,N
0,60,1,1,1,6,0.3,11,3,4,3,1,1,2,0,2,0,0,0,0,Y
2,11.1,0.5,0.5,1,11,0.1,26,17,6,10.4,1,1,16,0,1,1,4,2,2,Y
0,9.1,1,1,0,9,0.1,19,10,6,8.4,1,1,10,0,1,0,0,0,0,N
0,14.3,1,1,0,11,0.2,14,6,5,6.2,2,1,6,0,1,0,0,0,0,N
0,9.1,1,1,0,9,0.1,20,10,7,8.4,1,1,10,0,1,0,0,0,0,N
0,12.5,1,1,0,9,0.2,15,7,5,6.8,1,1,7,0,1,0,0,0,0,N
0,20,1,1,0,10,0.1,18,8,6,7.2,2,1,8,0,2,0,0,0,0,N
2,18.2,0.5,0.5,1,11,0.1,19,10,6,10.3,1,1,9,0,1,1,4,2,2,Y
2,9.1,0.5,0.5,0,11,0.1,19,10,6,11.8,1,1,10,0,1,1,4,2,2,N
0,12.5,1,1,0,9,0.2,15,7,5,5.5,2,1,7,0,1,0,0,0,0,N
2,0,0.3,1,0,12,0.1,18,12,4,9.6,2,0,12,0,0,2,8,4,4,N
2,22.2,0.5,1,1,8,0.2,19,8,5,4.4,2,4,7,0,1,1,4,2,2,N
2,11.1,0.5,1,0,8,0.2,18,8,4,4.4,2,4,8,0,1,1,4,2,2,N
3,7.7,1,0.7,1,15,0,38,25,8,30.6,3,3,24,1,1,2,6,3,2,Y
0,22.2,1,1,2,8,0.2,19,9,5,5.5,1,3,7,0,0,0,0,0,0,N
2,0,0.5,1,0,10,0.1,17,8,5,9.4,2,3,8,0,0,1,4,2,2,N
2,23.1,0.5,1,0,7,0.2,26,10,8,4.4,4,4,10,0,3,1,4,2,2,N
2,6.7,0.5,0.5,1,13,0.1,30,15,7,14.8,0,6,14,0,0,1,4,2,2,Y
2,92.6,0.3,1,20,13,0.1,32,22,3,13.6,2,0,2,0,5,3,12,6,6,Y
