HALSTEAD_EFFORT,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,HALSTEAD_LENGTH,NUM_OPERATORS,NUM_OPERANDS,NUMBER_OF_LINES,LOC_TOTAL,EDGE_COUNT,LOC_EXECUTABLE,NODE_COUNT,HALSTEAD_CONTENT,NUM_UNIQUE_OPERANDS,LOC_BLANK,CONDITION_COUNT,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,PERCENT_COMMENTS,CYCLOMATIC_COMPLEXITY,Defective
193686.35,10760.35,4607.96,666,411,255,166,131,132,128,108,109.63,91,22,38,43,20,3,9.86,26,N
16352.99,908.5,953.92,165,105,60,39,35,38,35,33,55.65,35,2,12,11,10,0,2.78,7,N
6090.84,338.38,423.18,89,58,31,24,23,19,23,16,29.4,14,0,4,7,2,0,0.0,5,N
59492.48,3305.14,2191.94,353,216,137,59,52,65,52,57,80.76,53,5,26,18,15,0,0.0,10,N
13243.53,735.75,849.85,153,98,55,25,22,40,22,35,54.54,30,1,24,13,10,0,0.0,7,N
45051.12,2502.84,1376.56,236,146,90,62,44,40,44,35,42.06,33,5,12,11,9,0,20.0,7,N
13490.6,749.48,690.22,128,85,43,31,22,36,22,32,35.31,22,5,20,11,11,0,8.33,6,N
8841.71,491.21,545.78,104,68,36,25,17,24,17,22,33.69,20,3,12,7,9,0,10.53,4,N
2383.85,132.44,325.07,70,48,22,14,12,24,12,22,44.33,15,1,12,7,9,0,0.0,4,N
15056.5,836.47,817.88,157,103,54,39,28,38,28,34,44.43,22,5,20,11,11,0,15.15,6,N
8034.06,446.34,573.86,111,67,44,18,15,18,15,17,40.99,22,2,8,5,7,0,0.0,3,N
10297.93,572.11,686.53,129,79,50,25,21,22,21,21,45.77,25,3,8,5,9,0,0.0,3,N
13244.88,735.83,706.39,131,81,50,25,21,28,21,24,37.67,24,3,18,11,7,0,0.0,6,N
169799.06,9433.28,3469.45,557,349,208,119,103,119,103,99,70.89,51,11,76,43,16,0,3.74,22,N
