LOC_CODE_AND_COMMENT,CYCLOMATIC_COMPLEXITY,PERCENT_COMMENTS,HALSTEAD_EFFORT,LOC_COMMENTS,NUM_OPERANDS,NUMBER_OF_LINES,CALL_PAIRS,NUM_UNIQUE_OPERATORS,HALSTEAD_PROG_TIME,NUM_OPERATORS,HALSTEAD_ERROR_EST,MAINTENANCE_SEVERITY,LOC_BLANK,HALSTEAD_VOLUME,DESIGN_COMPLEXITY,DECISION_DENSITY,HALSTEAD_LENGTH,PARAMETER_COUNT,HALSTEAD_CONTENT,Defective
3,26,9.9,193686.4,11,255,166,20,30,10760.4,411,1.5,0.6,22,4608,18,2.1,666,0,109.6,N
0,7,2.8,16353,1,60,39,10,20,908.5,105,0.3,0.1,2,953.9,6,2,165,0,55.7,N
0,5,0,6090.8,0,31,24,2,13,338.4,58,0.1,0.6,0,423.2,4,2,89,0,29.4,N
0,10,0,59492.5,0,137,59,15,21,3305.1,216,0.7,0.5,5,2191.9,10,2.2,353,0,80.8,N
0,7,0,13243.5,0,55,25,10,17,735.8,98,0.3,0.1,1,849.9,7,2,153,3,54.5,N
0,7,20,45051.1,11,90,62,9,24,2502.8,146,0.5,0.1,5,1376.6,5,2,236,3,42.1,N
0,6,8.3,13490.6,2,43,31,11,20,749.5,85,0.2,0.2,5,690.2,5,2,128,2,35.3,N
0,4,10.5,8841.7,2,36,25,9,18,491.2,68,0.2,0.3,3,545.8,4,2,104,2,33.7,N
0,4,0,2383.9,0,22,14,9,10,132.4,48,0.1,0.3,1,325.1,4,2,70,3,44.3,N
0,6,15.2,15056.5,5,54,39,11,15,836.5,103,0.3,0.2,5,817.9,6,2,157,1,44.4,N
0,3,0,8034.1,0,44,18,7,14,446.3,67,0.2,0.3,2,573.9,3,2,111,1,41,N
0,3,0,10297.9,0,50,25,9,15,572.1,79,0.2,0.3,3,686.5,3,2,129,2,45.8,N
0,6,0,13244.9,0,50,25,7,18,735.8,81,0.2,0.7,3,706.4,4,2.3,131,2,37.7,N
0,22,3.7,169799.1,4,208,119,16,24,9433.3,349,1.2,0.6,11,3469.5,17,2.2,557,3,70.9,N
0,3,0,2229.1,0,20,14,3,12,123.8,32,0.1,0.3,1,241.5,3,2,52,1,26.2,N
0,2,0,1110.9,0,12,10,3,9,61.7,24,0.1,0.5,1,144,2,2,36,1,18.7,N
0,6,0,18875,0,50,29,6,16,1048.6,101,0.3,0.2,3,755,6,2,151,1,30.2,N
0,2,0,1685.7,0,15,9,4,12,93.7,27,0.1,0.5,0,187.3,2,2,42,2,20.8,N
0,2,0,355.4,0,7,5,3,8,19.7,13,0,0.5,0,76.2,2,2,20,2,16.3,N
0,6,0,11411.2,0,44,28,7,17,634,83,0.2,0.2,5,671.3,5,2,127,2,39.5,N
0,3,0,3011,0,21,13,4,13,167.3,36,0.1,0.3,1,264.7,3,2,57,1,23.3,N
0,17,10.6,115062.6,9,175,102,13,20,6392.4,298,0.9,0.7,15,2827.3,13,2.2,473,3,69.5,N
1,10,12.3,107406.7,8,156,89,14,25,5967,256,0.8,0.4,15,2533.7,9,2.1,412,2,59.8,N
0,11,0,48468.2,0,139,78,24,18,2692.7,246,0.8,0.6,5,2440.8,11,2,385,0,122.9,N
0,11,4.9,29456,2,82,44,11,22,1636.5,142,0.5,0.1,1,1338.9,8,2.6,224,3,60.9,N
0,2,5.6,9816.4,1,56,24,6,11,545.4,83,0.2,0.5,5,701.2,2,2,139,1,50.1,N
0,7,0,29080.6,0,109,67,13,15,1615.6,162,0.5,0.6,12,1600.8,5,2,271,2,88.1,N
0,11,1.1,71508.8,1,194,109,23,17,3972.7,310,1.1,0.6,19,3295.7,9,2,504,2,151.9,N
0,7,6.3,29970.6,2,84,42,10,20,1665,132,0.4,0.9,9,1248.8,7,2.3,216,0,52,N
0,2,11.1,1796.9,1,18,12,5,10,99.8,32,0.1,0.5,2,219.6,2,2,50,1,26.8,N
0,4,0,7876.2,0,37,23,6,15,437.6,69,0.2,0.3,1,539.3,3,2,106,0,36.9,N
0,4,0,5332.5,0,27,22,6,16,296.3,52,0.1,0.8,1,395,3,2,79,0,29.3,N
1,36,13.9,395438.8,38,480,310,46,27,21968.8,807,3.2,0.6,28,9702.9,34,2.1,1287,0,238.1,N
0,9,20.8,46024.9,16,118,91,20,21,2556.9,209,0.7,0.1,12,2043.1,9,2,327,0,90.7,N
0,2,0,1943.9,0,16,9,4,11,108,30,0.1,0.5,0,198.8,2,2,46,0,20.3,N
0,3,0,8983.1,0,52,24,11,11,499.1,90,0.2,0.3,4,722.4,3,2,142,2,58.1,N
0,2,0,1943.9,0,16,9,4,11,108,30,0.1,0.5,0,198.8,2,2,46,0,20.3,N
2,14,16.4,103097.3,18,233,144,29,22,5727.6,357,1.4,0.4,20,4103,9,2,590,0,163.3,N
0,8,0,19687.6,0,62,40,7,16,1093.8,117,0.3,0.4,2,952.6,6,2,179,1,46.1,N
0,4,0,1404.7,0,14,18,4,11,78,31,0.1,0.8,3,200.7,3,2,45,1,28.7,N
0,6,43.8,9144.9,14,43,39,9,17,508.1,73,0.2,0.8,5,625.5,6,3.5,116,1,42.8,N
0,4,0,1404.7,0,14,17,4,11,78,31,0.1,0.8,2,200.7,3,2,45,1,28.7,N
0,4,0,2664.4,0,15,14,3,15,148,36,0.1,0.3,0,236.8,3,2,51,0,21.1,N
0,4,0,3264.5,0,16,17,4,16,181.4,43,0.1,0.3,0,280.5,3,2,59,0,24.1,N
0,6,8,4689.2,2,27,29,7,13,260.5,61,0.1,0.2,3,427.5,6,2,88,0,39,N
1,2,7.1,5352.7,0,34,19,6,13,297.4,54,0.2,0.5,4,436,2,2,88,2,35.5,Y
9,22,16.7,141550.3,12,166,140,18,25,7863.9,363,1.1,0.7,11,3274.4,19,2.1,529,0,75.8,Y
1,2,9.1,4777.9,0,24,14,6,16,265.4,47,0.1,0.5,2,348.4,2,2,71,1,25.4,Y
2,8,16.3,16702,6,73,60,17,16,927.9,144,0.4,0.6,10,1287,6,2,217,1,99.2,Y
2,17,9.3,95809.1,7,139,117,12,23,5322.7,279,0.8,0.5,18,2517.4,14,2.1,418,1,66.1,Y
1,3,11.1,9065.9,1,32,19,8,18,503.7,67,0.2,1,0,503.7,3,3,99,1,28,Y
1,9,13.3,31877.9,7,102,73,20,19,1771,185,0.6,0.6,12,1776.5,7,2,287,1,99,Y
0,4,0,8321.5,0,47,32,14,15,462.3,89,0.3,0.3,7,755.4,4,2,136,2,68.6,Y
4,15,13.2,46844.1,6,109,94,17,19,2602.5,205,0.6,0.5,15,1854.8,15,2.1,314,1,73.4,Y
0,5,10,13563.1,3,51,36,9,20,753.5,110,0.3,0.2,4,930.8,2,2,161,0,63.9,Y
1,14,10.6,27226.6,4,58,57,9,20,1512.6,126,0.3,0.4,7,985.8,12,2.3,184,0,35.7,Y
0,12,6.3,48459.4,3,110,59,17,23,2692.2,189,0.6,0.6,10,1838.8,10,2.5,299,1,69.8,Y
0,5,5.3,6778.5,1,30,20,6,19,376.6,60,0.2,0.6,0,475.7,3,2,90,1,33.4,N
0,2,10,3548.6,1,22,12,5,14,197.1,41,0.1,0.5,1,299.6,2,2,63,1,25.3,N
0,2,10,3548.6,1,22,12,5,14,197.1,41,0.1,0.5,1,299.6,2,2,63,0,25.3,N
0,2,10,3645.4,1,24,12,5,14,202.5,43,0.1,0.5,1,325.5,2,2,67,3,29.1,N
1,18,3.5,148686.8,3,219,138,25,24,8260.4,378,1.3,0.2,21,3903.9,16,2.2,597,1,102.5,Y
0,6,10.8,25188.5,4,79,40,12,22,1399.4,132,0.4,0.5,2,1275.4,6,2,211,1,64.6,N
0,8,3.8,41048.7,2,115,61,8,18,2280.5,167,0.6,0.1,7,1665.7,6,2,282,0,67.6,N
0,2,0,2320.9,0,21,13,5,13,128.9,35,0.1,0.5,2,272.1,2,2,56,1,31.9,N
0,5,0,6883,0,36,26,5,16,382.4,68,0.2,0.2,1,549.7,4,2,104,1,43.9,N
0,5,0,21840,0,79,44,8,16,1213.3,119,0.4,0.2,7,1105.8,4,2,198,0,56,Y
0,5,0,37755.6,0,144,65,22,16,2097.5,213,0.8,0.2,7,2294.2,5,2,357,0,139.4,Y
0,8,10.2,45791.3,9,152,102,13,18,2544,215,0.8,0.1,9,2376.6,5,2,367,2,123.4,Y
0,15,0,116853,0,263,118,35,20,6491.8,412,1.6,0.3,8,4709.7,14,2,675,0,189.8,Y
3,30,2.3,582830.4,2,556,246,45,31,32379.5,857,3.6,0.5,27,10685.5,23,2.1,1413,0,195.9,Y
0,3,0,5735.9,0,29,17,4,15,318.7,47,0.1,0.3,3,369.2,3,2,76,2,23.8,N
0,14,2.5,45226.9,2,135,91,13,17,2512.6,232,0.8,0.1,9,2286,13,2,367,0,115.5,Y
0,2,0,726.5,0,8,5,3,7,40.4,22,0,0.5,0,103.8,2,3,30,1,14.8,N
0,2,16,8806.6,4,64,35,9,9,489.3,91,0.3,0.5,9,795,2,2,155,0,71.8,N
0,4,9.8,19777.3,4,79,51,10,15,1098.7,128,0.4,1,9,1168.3,4,2,207,0,69,N
0,9,1.5,64177.2,1,161,81,22,21,3565.4,257,0.9,0.4,12,2733.4,7,2.5,418,0,116.4,N
0,6,0,9961.7,0,42,37,9,17,553.4,83,0.2,0.5,2,669.7,5,2,125,0,45,N
0,7,8.8,9914.7,3,34,41,4,16,550.8,70,0.2,1,5,510.3,4,2.2,104,0,26.3,N
0,4,0,3114.4,0,23,15,5,13,173,42,0.1,0.8,0,312.5,2,2.5,65,1,31.4,N
0,2,0,14395,0,66,20,10,12,799.7,97,0.3,0.5,0,836.1,2,2,163,0,48.6,N
0,4,0,3114.4,0,23,15,5,13,173,42,0.1,0.8,0,312.5,2,2.5,65,1,31.4,N
0,4,0,3268.2,0,24,15,6,13,181.6,45,0.1,0.8,0,335.2,2,2.5,69,1,34.4,N
0,3,8.3,5496.7,1,34,16,3,12,305.4,51,0.1,1,3,404.2,2,3,85,1,29.7,N
0,5,7.7,26838.7,2,79,33,10,21,1491,116,0.4,0.8,6,1132.4,5,2.3,195,1,47.8,N
0,2,0,1517,0,13,12,2,12,84.3,23,0.1,0.5,2,155.6,2,2,36,0,16,N
