LOC_CODE_AND_COMMENT,CYCLOMATIC_COMPLEXITY,BRANCH_COUNT,EDGE_COUNT,LOC_BLANK,NODE_COUNT,DESIGN_COMPLEXITY,NUMBER_OF_LINES,LOC_TOTAL,LOC_EXECUTABLE,ESSENTIAL_COMPLEXITY,HALSTEAD_CONTENT,NUM_OPERATORS,GLOBAL_DATA_COMPLEXITY,CALL_PAIRS,HALSTEAD_LENGTH,HALSTEAD_VOLUME,NUM_UNIQUE_OPERANDS,NUM_OPERANDS,HALSTEAD_ERROR_EST,Defective
3,26,43,132,22,108,18,166,131,128,15,109.6,411,19,20,666,4608,91,255,1.5,N
0,7,11,38,2,33,6,39,35,35,1,55.7,105,5,10,165,953.9,35,60,0.3,N
0,5,7,19,0,16,4,24,23,23,3,29.4,58,4,2,89,423.2,14,31,0.1,N
0,10,18,65,5,57,10,59,52,52,5,80.8,216,9,15,353,2191.9,53,137,0.7,N
0,7,13,40,1,35,7,25,22,22,1,54.5,98,7,10,153,849.9,30,55,0.3,N
0,7,11,40,5,35,5,62,44,44,1,42.1,146,6,9,236,1376.6,33,90,0.5,N
0,6,11,36,5,32,5,31,22,22,1,35.3,85,5,11,128,690.2,22,43,0.2,N
0,4,7,24,3,22,4,25,17,17,1,33.7,68,3,9,104,545.8,20,36,0.2,N
0,4,7,24,1,22,4,14,12,12,1,44.3,48,4,9,70,325.1,15,22,0.1,N
0,6,11,38,5,34,6,39,28,28,1,44.4,103,4,11,157,817.9,22,54,0.3,N
0,3,5,18,2,17,3,18,15,15,1,41,67,3,7,111,573.9,22,44,0.2,N
0,3,5,22,3,21,3,25,21,21,1,45.8,79,3,9,129,686.5,25,50,0.2,N
0,6,11,28,3,24,4,25,21,21,4,37.7,81,4,7,131,706.4,24,50,0.2,N
0,22,43,119,11,99,17,119,103,103,12,70.9,349,18,16,557,3469.5,51,208,1.2,N
0,3,5,13,1,12,3,14,12,12,1,26.2,32,3,3,52,241.5,13,20,0.1,N
0,2,3,9,1,9,2,10,8,8,1,18.7,24,1,3,36,144,7,12,0.1,N
0,6,11,35,3,31,6,29,25,25,1,30.2,101,6,6,151,755,16,50,0.3,N
0,2,3,9,0,9,2,9,8,8,1,20.8,27,2,4,42,187.3,10,15,0.1,N
0,2,3,9,0,9,2,5,4,4,1,16.3,13,2,3,20,76.2,6,7,0,N
0,6,11,32,5,28,5,28,22,22,1,39.5,83,4,7,127,671.3,22,44,0.2,N
0,3,5,13,1,12,3,13,11,11,1,23.3,36,3,4,57,264.7,12,21,0.1,N
0,17,33,97,15,82,13,102,76,76,12,69.5,298,10,13,473,2827.3,43,175,0.9,N
1,10,19,70,15,62,9,89,65,64,4,59.8,256,7,14,412,2533.7,46,156,0.8,N
0,11,19,81,5,72,11,78,71,71,7,122.9,246,10,24,385,2440.8,63,139,0.8,N
0,11,20,52,1,43,8,44,39,39,1,60.9,142,10,11,224,1338.9,41,82,0.5,N
0,2,3,17,5,17,2,24,17,17,1,50.1,83,1,6,139,701.2,22,56,0.2,N
0,7,11,42,12,37,5,67,54,54,4,88.1,162,4,13,271,1600.8,45,109,0.5,N
0,11,18,79,19,70,9,109,88,88,7,151.9,310,8,23,504,3295.7,76,194,1.1,N
0,7,12,40,9,35,7,42,30,30,6,52,132,6,10,216,1248.8,35,84,0.4,N
0,2,3,10,2,10,2,12,8,8,1,26.8,32,2,5,50,219.6,11,18,0.1,N
0,4,6,21,1,19,3,23,20,20,1,36.9,69,3,6,106,539.3,19,37,0.2,N
0,4,6,18,1,16,3,22,19,19,3,29.3,52,3,6,79,395,16,27,0.1,N
1,36,59,233,28,199,34,310,242,241,20,238.1,807,33,46,1287,9702.9,159,480,3.2,N
0,9,15,61,12,54,9,91,61,61,1,90.7,209,9,20,327,2043.1,55,118,0.7,N
0,2,3,9,0,9,2,9,8,8,1,20.3,30,2,4,46,198.8,9,16,0.1,N
0,3,5,30,4,29,3,24,19,19,1,58.1,90,3,11,142,722.4,23,52,0.2,N
0,2,3,9,0,9,2,9,8,8,1,20.3,30,2,4,46,198.8,9,16,0.1,N
