HALSTEAD_EFFORT,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,HALSTEAD_LENGTH,NUM_OPERATORS,NUMBER_OF_LINES,NUM_OPERANDS,EDGE_COUNT,NODE_COUNT,HALSTEAD_CONTENT,LOC_EXECUTABLE,LOC_TOTAL,NUM_UNIQUE_OPERANDS,CONDITION_COUNT,BRANCH_COUNT,LOC_COMMENTS,MULTIPLE_CONDITION_COUNT,LOC_BLANK,CALL_PAIRS,DECISION_COUNT,Defective
4925.18,273.62,615.65,108,60,41,48,30,28,76.96,26,26,39,8,7,6,4,8,15,4,N
1308.6,72.7,203.56,45,25,13,20,13,12,31.66,11,11,14,8,5,0,4,1,4,4,N
791.15,43.95,105.49,27,17,16,10,10,9,14.06,9,9,6,8,5,4,4,2,0,4,N
3749.74,208.32,312.48,65,33,26,32,17,14,26.04,15,15,16,12,9,6,6,4,4,4,N
7918.85,439.94,705.41,130,72,44,58,31,26,62.84,31,31,31,24,13,6,12,6,7,12,N
4292.33,238.46,418.76,81,40,33,41,7,7,40.86,28,28,24,4,3,0,2,4,3,2,N
4172.6,231.81,267.35,53,30,24,23,10,9,17.13,15,15,14,8,5,3,4,5,1,4,N
3922.73,217.93,239.72,51,27,14,24,16,14,14.65,12,12,11,12,7,0,6,1,0,6,N
150.0,8.33,36.0,12,7,8,5,5,5,8.64,7,7,3,4,3,0,2,0,1,2,N
3317.73,184.32,258.51,55,33,35,22,13,12,20.14,16,16,12,8,5,15,4,3,3,4,Y
3542.75,196.82,478.97,90,51,37,39,22,20,64.76,31,31,29,12,7,2,6,3,9,6,N
2658.2,147.68,386.65,76,43,31,33,17,16,56.24,26,26,24,8,5,2,4,2,7,4,N
10120.84,562.27,1109.4,181,101,73,80,56,50,121.61,44,44,57,24,15,11,12,17,25,12,Y
2589.55,143.86,242.5,51,28,22,23,15,14,22.71,16,16,14,8,5,2,4,3,2,4,N
176348.54,9797.14,3716.76,526,303,130,223,118,92,78.34,100,100,94,16,33,9,8,20,13,8,N
2705.36,150.3,324.14,75,44,14,31,14,14,38.84,9,9,13,4,3,3,2,1,4,2,Y
8545.97,474.78,486.26,92,55,27,37,16,13,27.67,22,22,20,4,7,0,2,4,1,2,N
59603.26,3311.29,1802.88,286,172,60,114,59,39,54.53,46,46,50,16,28,4,8,9,6,8,N
16859.61,936.64,899.18,161,86,45,75,32,23,47.96,36,37,32,24,21,2,12,5,3,4,N
1455.85,80.88,195.04,42,23,13,19,9,9,26.13,10,10,14,4,3,0,2,2,2,2,N
8399.67,466.65,656.58,121,68,35,53,14,13,51.32,24,24,29,8,5,5,4,5,6,4,N
271.19,15.07,70.31,19,10,11,9,6,6,18.23,9,9,7,4,3,0,2,1,2,2,N
1014.63,56.37,131.77,30,16,14,14,7,7,17.11,11,11,10,4,3,0,2,2,1,2,N
3588.0,199.33,602.07,109,60,38,49,30,28,101.03,28,28,37,8,7,3,4,6,16,4,Y
966.99,53.72,218.72,46,25,20,21,13,12,49.47,18,18,19,8,5,0,4,1,4,4,Y
9698.89,538.83,595.16,106,66,38,40,23,18,36.52,32,32,27,8,10,0,4,5,6,4,N
19104.17,1061.34,748.14,130,75,49,55,21,17,29.3,39,39,28,12,10,2,6,7,1,6,N
37867.16,2103.73,1352.4,235,147,54,88,36,31,48.3,47,47,33,12,11,0,6,6,5,6,N
68495.54,3805.31,1441.06,246,129,71,117,47,37,30.32,48,48,32,44,23,13,22,9,1,22,N
6218.16,345.45,459.83,87,52,37,35,22,18,34.0,23,23,22,12,10,7,6,6,5,6,N
30006.37,1667.02,1697.33,276,144,56,132,30,30,96.01,34,34,56,4,3,7,2,14,7,2,N
80809.25,4489.4,2629.2,405,215,83,190,37,35,85.54,51,51,68,12,7,13,6,18,9,6,N
25777.05,1432.06,1127.37,195,101,49,94,18,16,49.31,26,26,37,12,7,16,6,6,0,6,N
676.0,37.56,104.0,26,13,7,13,6,6,16.0,5,5,8,4,3,0,2,1,0,2,N
8646.51,480.36,377.83,77,42,29,35,18,15,16.51,16,16,13,14,9,8,7,4,2,6,N
4532.64,251.81,746.76,131,73,50,58,34,32,123.03,34,34,43,8,7,4,4,11,20,4,N
10151.3,563.96,1008.98,177,102,39,75,19,18,100.29,30,30,41,8,5,5,4,3,3,4,Y
5152.07,286.23,449.78,87,51,28,36,17,16,39.27,22,22,22,4,5,2,2,3,6,2,N
7959.08,442.17,495.0,99,52,49,47,29,24,30.79,28,28,19,22,13,12,11,8,4,10,N
2854.12,158.56,475.69,90,50,38,40,28,26,79.28,24,24,30,8,7,6,4,7,14,4,N
2065.86,114.77,306.05,63,33,16,30,11,11,45.34,13,13,20,4,3,0,2,2,4,2,N
29630.1,1646.12,1045.51,164,90,93,74,23,17,36.89,61,61,47,4,10,21,2,10,6,2,Y
31947.46,1774.86,1129.46,170,98,85,72,29,22,39.93,58,58,56,6,12,15,3,11,10,2,N
13645.26,758.07,973.75,170,99,74,71,28,25,69.49,43,43,38,16,9,17,8,13,7,8,Y
37041.01,2057.83,1464.5,250,128,81,122,29,24,57.9,64,64,41,12,11,7,6,9,3,6,N
1785.31,99.18,340.06,70,37,28,33,18,17,64.76,23,23,22,8,5,1,4,3,6,4,N
396.0,22.0,88.0,22,13,17,9,10,9,19.56,9,9,8,8,5,5,4,2,2,4,N
13744.03,763.56,790.83,144,81,38,63,42,34,45.5,32,32,29,36,19,0,18,5,2,18,N
