DESIGN_DENSITY,NUM_OPERANDS,NUM_OPERATORS,LOC_TOTAL,LOC_EXECUTABLE,ESSENTIAL_COMPLEXITY,NUMBER_OF_LINES,EDGE_COUNT,CONDITION_COUNT,DECISION_DENSITY,BRANCH_COUNT,MULTIPLE_CONDITION_COUNT,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,HALSTEAD_ERROR_EST,CYCLOMATIC_COMPLEXITY,NODE_COUNT,NUM_UNIQUE_OPERANDS,DECISION_COUNT,CALL_PAIRS,Defective
1.0,48,60,26,26,1,41,30,8,2.0,7,4,0.25,2,0.21,4,28,39,4,15,N
1.0,20,25,11,11,1,13,13,8,2.0,5,4,0.33,2,0.07,3,12,14,4,4,N
0.33,10,17,9,9,1,16,10,8,2.0,5,4,0.33,2,0.04,3,9,6,4,0,N
0.6,32,33,15,15,5,26,17,12,3.0,9,6,1.0,4,0.1,5,14,16,4,4,N
0.86,58,72,31,31,1,44,31,24,2.0,13,12,0.14,6,0.24,7,26,31,12,7,N
1.0,41,40,28,28,1,33,7,4,2.0,3,2,0.5,1,0.14,2,7,24,2,3,N
0.67,23,30,15,15,1,24,10,8,2.0,5,4,0.33,2,0.09,3,9,14,4,1,N
0.25,24,27,12,12,1,14,16,12,2.0,7,6,0.25,3,0.08,4,14,11,6,0,N
1.0,5,7,7,7,1,8,5,4,2.0,3,2,0.5,1,0.01,2,5,3,2,1,N
0.67,22,33,16,16,1,35,13,8,2.0,5,4,0.33,2,0.09,3,12,12,4,3,Y
1.0,39,51,31,31,1,37,22,12,2.0,7,6,0.25,3,0.16,4,20,29,6,9,N
1.0,33,43,26,26,1,31,17,8,2.0,5,4,0.33,2,0.13,3,16,24,4,7,N
1.0,80,101,44,44,1,73,56,24,2.0,15,12,0.13,6,0.37,8,50,57,12,25,Y
1.0,23,28,16,16,1,22,15,8,2.0,5,4,0.33,2,0.08,3,14,14,4,2,N
0.54,223,303,100,100,1,130,118,16,2.0,33,8,0.04,4,1.24,28,92,94,8,13,N
1.0,31,44,9,9,1,14,14,4,2.0,3,2,0.5,1,0.11,2,14,13,2,4,Y
0.4,37,55,22,22,1,27,16,4,2.0,7,2,0.2,1,0.16,5,13,20,2,1,N
0.95,114,172,46,46,1,60,59,16,2.0,28,8,0.05,4,0.6,22,39,50,8,6,N
0.18,75,86,37,36,10,45,32,24,6.0,21,12,0.91,10,0.3,11,23,32,4,3,N
1.0,19,23,10,10,1,13,9,4,2.0,3,2,0.5,1,0.07,2,9,14,2,2,N
1.0,53,68,24,24,1,35,14,8,2.0,5,4,0.33,2,0.22,3,13,29,4,6,N
1.0,9,10,9,9,1,11,6,4,2.0,3,2,0.5,1,0.02,2,6,7,2,2,N
1.0,14,16,11,11,1,14,7,4,2.0,3,2,0.5,1,0.04,2,7,10,2,1,N
1.0,49,60,28,28,1,38,30,8,2.0,7,4,0.25,2,0.2,4,28,37,4,16,Y
1.0,21,25,18,18,1,20,13,8,2.0,5,4,0.33,2,0.07,3,12,19,4,4,Y
1.0,40,66,32,32,1,38,23,8,2.0,10,4,0.14,2,0.2,7,18,27,4,6,N
0.83,55,75,39,39,1,49,21,12,2.0,10,6,0.17,3,0.25,6,17,28,6,1,N
1.0,88,147,47,47,1,54,36,12,2.0,11,6,0.14,3,0.45,7,31,33,6,5,N
0.17,117,129,48,48,1,71,47,44,2.0,23,22,0.08,11,0.48,12,37,32,22,1,N
0.83,35,52,23,23,1,37,22,12,2.0,10,6,0.17,3,0.15,6,18,22,6,5,N
0.5,132,144,34,34,1,56,30,4,2.0,3,2,0.5,1,0.57,2,30,56,2,7,N
0.75,190,215,51,51,1,83,37,12,2.0,7,6,0.25,3,0.88,4,35,68,6,9,N
0.25,94,101,26,26,1,49,18,12,2.0,7,6,0.25,3,0.38,4,16,37,6,0,N
0.5,13,13,5,5,1,7,6,4,2.0,3,2,0.5,1,0.03,2,6,8,2,0,N
0.4,35,42,16,16,4,29,18,14,2.33,9,7,0.8,4,0.13,5,15,13,6,2,N
1.0,58,73,34,34,1,50,34,8,2.0,7,4,0.25,2,0.25,4,32,43,4,20,N
1.0,75,102,30,30,1,39,19,8,2.0,5,4,0.33,2,0.34,3,18,41,4,3,Y
1.0,36,51,22,22,1,28,17,4,2.0,5,2,0.33,1,0.15,3,16,22,2,6,N
0.57,47,52,28,28,3,49,29,22,2.2,13,11,0.43,6,0.17,7,24,19,10,4,N
1.0,40,50,24,24,1,38,28,8,2.0,7,4,0.25,2,0.16,4,26,30,4,14,N
1.0,30,33,13,13,1,16,11,4,2.0,3,2,0.5,1,0.1,2,11,20,2,4,N
1.0,74,90,61,61,1,93,23,4,2.0,10,2,0.13,1,0.35,8,17,47,2,6,Y
0.89,72,98,58,58,1,85,29,6,3.0,12,3,0.11,2,0.38,9,22,56,2,10,N
1.0,71,99,43,43,1,74,28,16,2.0,9,8,0.2,4,0.32,5,25,38,8,7,Y
0.57,122,128,64,64,1,81,29,12,2.0,11,6,0.14,3,0.49,7,24,41,6,3,N
1.0,33,37,23,23,1,28,18,8,2.0,5,4,0.33,2,0.11,3,17,22,4,6,N
1.0,9,13,9,9,1,17,10,8,2.0,5,4,0.33,2,0.03,3,9,8,4,2,N
0.6,63,81,32,32,1,38,42,36,2.0,19,18,0.1,9,0.26,10,34,29,18,2,N
0.25,39,44,43,43,1,54,32,28,2.0,15,14,0.13,7,0.14,8,26,24,14,1,N
1.0,25,32,16,16,1,26,12,8,2.0,5,4,0.33,2,0.1,3,11,17,4,4,N
1.0,6,8,5,5,1,8,6,4,2.0,3,2,0.5,1,0.02,2,6,6,2,2,N
1.0,16,19,9,9,1,16,7,4,2.0,3,2,0.5,1,0.05,2,7,11,2,2,N
0.67,19,22,7,7,1,16,13,8,2.0,5,4,0.33,2,0.06,3,12,8,4,2,N
1.0,58,80,30,30,1,36,17,12,2.0,7,6,0.25,3,0.25,4,15,31,6,5,N
0.8,77,102,41,41,5,50,31,14,2.33,9,7,1.0,4,0.36,5,28,44,6,9,N
1.0,9,10,5,5,1,6,7,4,2.0,3,2,0.5,1,0.02,2,7,7,2,3,N
0.5,33,42,26,26,5,46,30,26,2.17,15,13,0.63,7,0.13,8,24,21,12,4,N
1.0,55,70,38,38,1,51,26,4,2.0,7,2,0.2,1,0.24,5,23,37,2,9,N
0.75,90,103,49,49,7,74,57,38,2.38,23,19,0.58,11,0.39,12,47,50,16,10,N
0.67,23,29,15,15,1,24,11,8,2.0,5,4,0.33,2,0.08,3,10,13,4,2,N
1.0,30,31,19,19,1,44,19,8,2.0,5,4,0.33,2,0.09,3,18,14,4,3,N
1.0,22,25,16,16,1,28,13,8,2.0,5,4,0.33,2,0.07,3,12,14,4,3,N
1.0,9,11,9,9,1,11,5,4,2.0,3,2,0.5,1,0.02,2,5,6,2,1,N
0.67,126,138,64,64,10,81,85,58,2.42,35,29,0.56,17,0.54,18,69,54,24,10,N
0.77,125,151,80,80,12,116,103,76,2.24,43,38,0.55,21,0.6,22,83,71,34,13,N
0.75,119,139,69,69,9,88,66,30,2.14,21,15,0.75,8,0.54,12,56,51,14,5,N
0.86,32,40,25,25,6,37,26,22,2.2,13,11,0.86,6,0.12,7,21,19,10,4,N
0.4,10,15,9,9,5,27,14,10,5.0,9,5,1.0,4,0.03,5,11,9,2,3,N
0.89,65,82,40,40,5,61,48,28,2.33,17,14,0.56,8,0.29,9,41,48,12,12,N
1.0,22,22,13,13,1,25,13,4,2.0,3,2,0.5,1,0.06,2,13,16,2,6,N
1.0,14,16,9,9,1,14,8,4,2.0,3,2,0.5,1,0.04,2,8,10,2,2,N
1.0,17,19,9,9,1,13,8,4,2.0,3,2,0.5,1,0.05,2,8,12,2,2,N
1.0,100,117,55,55,1,83,55,28,2.0,17,14,0.11,7,0.46,9,48,70,14,24,Y
1.0,92,165,59,59,1,76,53,8,2.0,22,4,0.05,2,0.54,19,36,53,4,16,N
1.0,32,45,19,19,1,22,17,4,2.0,8,2,0.17,1,0.13,6,13,22,2,7,N
1.0,83,139,64,64,1,88,54,8,2.0,22,4,0.05,2,0.47,19,37,56,4,18,N
