CALL_PAIRS,NODE_COUNT,LOC_BLANK,NUM_UNIQUE_OPERANDS,NUMBER_OF_LINES,LOC_COMMENTS,NUM_OPERANDS,HALSTEAD_CONTENT,DESIGN_COMPLEXITY,HALSTEAD_DIFFICULTY,MULTIPLE_CONDITION_COUNT,PERCENT_COMMENTS,DECISION_COUNT,HALSTEAD_LENGTH,EDGE_COUNT,HALSTEAD_PROG_TIME,LOC_EXECUTABLE,HALSTEAD_VOLUME,HALSTEAD_EFFORT,LOC_TOTAL,Defective
15,28,8,39,41,6,48,77,4,8,4,18.8,4,108,30,273.6,26,615.7,4925.2,26,N
4,12,1,14,13,0,20,31.7,3,6.4,4,0,4,45,13,72.7,11,203.6,1308.6,11,N
0,9,2,6,16,4,10,14.1,1,7.5,4,30.8,4,27,10,44,9,105.5,791.2,9,N
4,14,4,16,26,6,32,26,3,12,6,28.6,4,65,17,208.3,15,312.5,3749.7,15,N
7,26,6,31,44,6,58,62.8,6,11.2,12,16.2,12,130,31,439.9,31,705.4,7918.9,31,N
3,7,4,24,33,0,41,40.9,2,10.3,2,0,2,81,7,238.5,28,418.8,4292.3,28,N
1,9,5,14,24,3,23,17.1,2,15.6,4,16.7,4,53,10,231.8,15,267.4,4172.6,15,N
0,14,1,11,14,0,24,14.7,1,16.4,6,0,6,51,16,217.9,12,239.7,3922.7,12,N
1,5,0,3,8,0,5,8.6,2,4.2,2,0,2,12,5,8.3,7,36,150,7,N
3,12,3,12,35,15,22,20.1,2,12.8,4,48.4,4,55,13,184.3,16,258.5,3317.7,16,Y
9,20,3,29,37,2,39,64.8,4,7.4,6,6.1,6,90,22,196.8,31,479,3542.8,31,N
7,16,2,24,31,2,33,56.2,3,6.9,4,7.1,4,76,17,147.7,26,386.7,2658.2,26,N
25,50,17,57,73,11,80,121.6,8,9.1,12,20,12,181,56,562.3,44,1109.4,10120.8,44,Y
2,14,3,14,22,2,23,22.7,3,10.7,4,11.1,4,51,15,143.9,16,242.5,2589.6,16,N
13,92,20,94,130,9,223,78.3,15,47.5,8,8.3,8,526,118,9797.1,100,3716.8,176348.5,100,N
4,14,1,13,14,3,31,38.8,2,8.4,2,25,2,75,14,150.3,9,324.1,2705.4,9,Y
1,13,4,20,27,0,37,27.7,2,17.6,2,0,2,92,16,474.8,22,486.3,8546,22,N
