LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,Defective
8,7,15,0,6,8,4,0.15,4,2.0,4,1.0,30,1,0,26,2,76.96,8.0,4925.18,N
1,5,4,0,0,8,3,0.27,4,2.0,3,1.0,13,1,0,11,0,31.66,6.43,1308.6,N
2,5,0,0,4,8,3,0.33,4,2.0,1,0.33,10,1,0,9,0,14.06,7.5,791.15,N
4,9,4,0,6,12,5,0.33,4,3.0,3,0.6,17,5,1,15,1,26.04,12.0,3749.74,N
6,13,7,0,6,24,7,0.23,12,2.0,6,0.86,31,1,0,31,0,62.84,11.23,7918.85,N
4,3,3,0,0,4,2,0.07,2,2.0,2,1.0,7,1,0,28,2,40.86,10.25,4292.33,N
5,5,1,0,3,8,3,0.2,4,2.0,2,0.67,10,1,0,15,2,17.13,15.61,4172.6,N
1,7,0,0,0,12,4,0.33,6,2.0,1,0.25,16,1,0,12,1,14.65,16.36,3922.73,N
0,3,1,0,0,4,2,0.29,2,2.0,2,1.0,5,1,0,7,0,8.64,4.17,150.0,N
3,5,3,0,15,8,3,0.19,4,2.0,2,0.67,13,1,0,16,2,20.14,12.83,3317.73,Y
3,7,9,0,2,12,4,0.13,6,2.0,4,1.0,22,1,0,31,2,64.76,7.4,3542.75,N
2,5,7,0,2,8,3,0.12,4,2.0,3,1.0,17,1,0,26,2,56.24,6.87,2658.2,N
17,15,25,0,11,24,8,0.18,12,2.0,8,1.0,56,1,0,44,2,121.61,9.12,10120.84,Y
3,5,2,0,2,8,3,0.19,4,2.0,3,1.0,15,1,0,16,2,22.71,10.68,2589.55,N
20,33,13,0,9,16,28,0.28,8,2.0,15,0.54,118,1,0,100,1,78.34,47.45,176348.54,N
1,3,4,0,3,4,2,0.22,2,2.0,2,1.0,14,1,0,9,0,38.84,8.35,2705.36,Y
4,7,1,0,0,4,5,0.23,2,2.0,2,0.4,16,1,0,22,1,27.67,17.58,8545.97,N
9,28,6,0,4,16,22,0.48,8,2.0,21,0.95,59,1,0,46,2,54.53,33.06,59603.26,N
5,21,3,1,2,24,11,0.3,4,6.0,2,0.18,32,10,0,36,1,47.96,18.75,16859.61,N
2,3,2,0,0,4,2,0.2,2,2.0,2,1.0,9,1,0,10,0,26.13,7.46,1455.85,N
5,5,6,0,5,8,3,0.13,4,2.0,3,1.0,14,1,0,24,2,51.32,12.79,8399.67,N
1,3,2,0,0,4,2,0.22,2,2.0,2,1.0,6,1,0,9,0,18.23,3.86,271.19,N
2,3,1,0,0,4,2,0.18,2,2.0,2,1.0,7,1,0,11,3,17.11,7.7,1014.63,N
6,7,16,0,3,8,4,0.14,4,2.0,4,1.0,30,1,0,28,2,101.03,5.96,3588.0,Y
1,5,4,0,0,8,3,0.17,4,2.0,3,1.0,13,1,0,18,0,49.47,4.42,966.99,Y
5,10,6,0,0,8,7,0.22,4,2.0,7,1.0,23,1,0,32,0,36.52,16.3,9698.89,N
7,10,1,0,2,12,6,0.15,6,2.0,5,0.83,21,1,0,39,0,29.3,25.54,19104.17,N
