NUMBER_OF_LINES,LOC_EXECUTABLE,NUM_UNIQUE_OPERANDS,NODE_COUNT,LOC_BLANK,LOC_TOTAL,HALSTEAD_VOLUME,NUM_OPERATORS,NUM_OPERANDS,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,EDGE_COUNT,DECISION_COUNT,DESIGN_COMPLEXITY,MULTIPLE_CONDITION_COUNT,CONDITION_COUNT,BRANCH_COUNT,CYCLOMATIC_COMPLEXITY,MODIFIED_CONDITION_COUNT,LOC_COMMENTS,Defective
41,26,39,28,8,26,615.7,60,48,0.2,108,30,4,4,4,8,7,4,2,6,N
13,11,14,12,1,11,203.6,25,20,0.1,45,13,4,3,4,8,5,3,2,0,N
16,9,6,9,2,9,105.5,17,10,0,27,10,4,1,4,8,5,3,2,4,N
26,15,16,14,4,15,312.5,33,32,0.1,65,17,4,3,6,12,9,5,4,6,N
44,31,31,26,6,31,705.4,72,58,0.2,130,31,12,6,12,24,13,7,6,6,N
33,28,24,7,4,28,418.8,40,41,0.1,81,7,2,2,2,4,3,2,1,0,N
24,15,14,9,5,15,267.4,30,23,0.1,53,10,4,2,4,8,5,3,2,3,N
14,12,11,14,1,12,239.7,27,24,0.1,51,16,6,1,6,12,7,4,3,0,N
8,7,3,5,0,7,36,7,5,0,12,5,2,2,2,4,3,2,1,0,N
35,16,12,12,3,16,258.5,33,22,0.1,55,13,4,2,4,8,5,3,2,15,Y
37,31,29,20,3,31,479,51,39,0.2,90,22,6,4,6,12,7,4,3,2,N
31,26,24,16,2,26,386.7,43,33,0.1,76,17,4,3,4,8,5,3,2,2,N
73,44,57,50,17,44,1109.4,101,80,0.4,181,56,12,8,12,24,15,8,6,11,Y
22,16,14,14,3,16,242.5,28,23,0.1,51,15,4,3,4,8,5,3,2,2,N
130,100,94,92,20,100,3716.8,303,223,1.2,526,118,8,15,8,16,33,28,4,9,N
14,9,13,14,1,9,324.1,44,31,0.1,75,14,2,2,2,4,3,2,1,3,Y
27,22,20,13,4,22,486.3,55,37,0.2,92,16,2,2,2,4,7,5,1,0,N
60,46,50,39,9,46,1802.9,172,114,0.6,286,59,8,21,8,16,28,22,4,4,N
45,36,32,23,5,37,899.2,86,75,0.3,161,32,4,2,12,24,21,11,10,2,N
13,10,14,9,2,10,195,23,19,0.1,42,9,2,2,2,4,3,2,1,0,N
35,24,29,13,5,24,656.6,68,53,0.2,121,14,4,3,4,8,5,3,2,5,N
11,9,7,6,1,9,70.3,10,9,0,19,6,2,2,2,4,3,2,1,0,N
14,11,10,7,2,11,131.8,16,14,0,30,7,2,2,2,4,3,2,1,0,N
38,28,37,28,6,28,602.1,60,49,0.2,109,30,4,4,4,8,7,4,2,3,Y
20,18,19,12,1,18,218.7,25,21,0.1,46,13,4,3,4,8,5,3,2,0,Y
38,32,27,18,5,32,595.2,66,40,0.2,106,23,4,7,4,8,10,7,2,0,N
49,39,28,17,7,39,748.1,75,55,0.3,130,21,6,5,6,12,10,6,3,2,N
54,47,33,31,6,47,1352.4,147,88,0.5,235,36,6,7,6,12,11,7,3,0,N
71,48,32,37,9,48,1441.1,129,117,0.5,246,47,22,2,22,44,23,12,11,13,N
37,23,22,18,6,23,459.8,52,35,0.2,87,22,6,5,6,12,10,6,3,7,N
56,34,56,30,14,34,1697.3,144,132,0.6,276,30,2,1,2,4,3,2,1,7,N
83,51,68,35,18,51,2629.2,215,190,0.9,405,37,6,3,6,12,7,4,3,13,N
49,26,37,16,6,26,1127.4,101,94,0.4,195,18,6,1,6,12,7,4,3,16,N
7,5,8,6,1,5,104,13,13,0,26,6,2,1,2,4,3,2,1,0,N
29,16,13,15,4,16,377.8,42,35,0.1,77,18,6,2,7,14,9,5,4,8,N
50,34,43,32,11,34,746.8,73,58,0.3,131,34,4,4,4,8,7,4,2,4,N
39,30,41,18,3,30,1009,102,75,0.3,177,19,4,3,4,8,5,3,2,5,Y
28,22,22,16,3,22,449.8,51,36,0.2,87,17,2,3,2,4,5,3,1,2,N
49,28,19,24,8,28,495,52,47,0.2,99,29,10,4,11,22,13,7,6,12,N
38,24,30,26,7,24,475.7,50,40,0.2,90,28,4,4,4,8,7,4,2,6,N
16,13,20,11,2,13,306.1,33,30,0.1,63,11,2,2,2,4,3,2,1,0,N
93,61,47,17,10,61,1045.5,90,74,0.4,164,23,2,8,2,4,10,8,1,21,Y
85,58,56,22,11,58,1129.5,98,72,0.4,170,29,2,8,3,6,12,9,2,15,N
74,43,38,25,13,43,973.8,99,71,0.3,170,28,8,5,8,16,9,5,4,17,Y
