PERCENT_COMMENTS,PARAMETER_COUNT,LOC_COMMENTS,LOC_CODE_AND_COMMENT,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,BRANCH_COUNT,LOC_EXECUTABLE,HALSTEAD_CONTENT,LOC_TOTAL,DESIGN_DENSITY,CALL_PAIRS,NODE_COUNT,NUMBER_OF_LINES,HALSTEAD_LENGTH,MAINTENANCE_SEVERITY,HALSTEAD_DIFFICULTY,NUM_OPERATORS,DECISION_COUNT,CONDITION_COUNT,Defective
82.4,4,0,14,9,14,7,3,14.3,17,0.3,1,12,20,91,0.3,28.8,54,6,12,N
82.4,5,0,14,10,14,7,3,16,17,0.5,2,13,20,95,0.3,27.3,56,6,12,N
80,3,0,4,3,7,7,1,8.1,5,0.3,0,10,8,17,0.3,7,11,6,12,N
50,3,0,1,2,5,3,1,7.9,2,0.5,0,5,4,7,0.5,2.5,5,2,4,N
93.8,3,14,1,2,5,3,1,7.9,2,0.5,0,5,18,7,0.5,2.5,5,2,4,N
71.4,3,0,5,4,9,3,2,7.1,7,1,1,7,10,26,0.5,13.5,14,2,4,N
71.4,4,0,5,5,9,3,2,9.1,7,1,1,7,11,30,0.5,12.6,16,2,4,N
0,4,0,0,3,5,3,2,10.8,2,0.5,0,6,5,12,0.5,3.3,8,2,4,N
0,4,0,0,3,5,3,2,10.8,2,0.5,0,6,5,12,0.5,3.3,8,2,4,N
0,4,0,0,3,5,3,2,10.8,2,0.5,0,6,5,12,0.5,3.3,8,2,4,N
87.1,5,1,26,19,13,7,4,31.4,30,1,6,19,34,116,1,18.5,62,6,12,N
87.1,4,1,26,18,14,7,4,27.8,30,0.8,5,17,34,108,1,19.4,58,6,12,N
84.6,5,1,21,15,14,7,4,22.2,25,1,3,15,30,94,1,20.5,50,6,12,N
84.6,4,1,21,14,15,7,4,19.5,25,0.5,2,13,29,86,1,21.4,46,6,12,N
75,2,0,6,5,8,3,2,9.9,8,1,2,7,11,30,0.5,11.2,16,2,4,N
75,3,0,6,6,8,3,2,12.1,8,1,2,7,11,36,0.5,11.3,19,2,4,N
75,2,0,6,4,7,3,2,8.8,8,0.5,0,6,10,20,0.5,7.9,11,2,4,N
83.3,7,0,10,15,10,3,2,32.7,12,1,6,10,17,75,0.5,10.7,43,2,4,N
83.3,8,0,10,16,10,3,2,35,12,1,6,10,18,79,0.5,10.6,45,2,4,N
92.3,4,0,12,16,11,5,1,27.7,13,0.7,6,16,18,80,0.3,13.8,40,4,8,N
81.8,2,0,9,8,10,3,2,13.9,11,1,3,9,14,50,0.5,15,26,2,4,N
