HALSTEAD_EFFORT,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,HALSTEAD_LENGTH,NUM_OPERATORS,NUM_OPERANDS,LOC_CODE_AND_COMMENT,HALSTEAD_CONTENT,PERCENT_COMMENTS,NUMBER_OF_LINES,CONDITION_COUNT,NUM_UNIQUE_OPERANDS,LOC_EXECUTABLE,DECISION_COUNT,MULTIPLE_CONDITION_COUNT,LOC_BLANK,HALSTEAD_DIFFICULTY,MODIFIED_CONDITION_COUNT,LOC_COMMENTS,DECISION_DENSITY,Defective
9265.54,514.75,634.25,120,78,42,4,43.42,31.91,71,26,23,32,12,13,22,14.61,7,11,2.17,Y
1446.79,80.38,144.68,38,30,8,0,14.47,22.22,18,0,4,7,0,0,7,10.0,0,2,0.0,N
1439.2,79.96,159.91,37,25,12,0,17.77,16.67,24,4,8,10,2,2,10,9.0,1,2,2.0,N
1478.1,82.12,164.23,38,26,12,0,18.25,37.5,27,4,8,10,2,2,9,9.0,1,6,2.0,N
186.03,10.33,39.86,12,8,4,0,8.54,0.0,10,0,3,4,0,0,3,4.67,0,0,0.0,N
350.28,19.46,87.57,23,15,8,0,21.89,27.27,22,0,7,8,0,0,9,4.0,0,3,0.0,N
3306.02,183.67,331.71,69,46,23,9,33.28,58.33,34,4,15,10,2,2,8,9.97,1,5,2.0,Y
271.98,15.11,66.61,18,11,7,0,16.3,14.29,14,0,6,6,0,0,5,4.08,0,1,0.0,N
843.89,46.88,125.02,32,23,9,0,18.52,12.5,15,0,6,7,0,0,5,6.75,0,1,0.0,N
3916.37,217.58,285.4,64,45,19,1,20.8,10.53,27,6,9,17,2,3,6,13.72,2,1,3.0,N
104.61,5.81,34.87,11,8,3,1,11.62,60.0,11,0,3,2,0,0,4,3.0,0,2,0.0,Y
2514.4,139.69,242.03,56,39,17,1,23.3,11.11,26,4,9,16,2,2,6,10.39,1,1,2.0,Y
1470.86,81.71,176.0,44,31,13,0,21.06,9.09,19,0,7,10,0,0,6,8.36,0,1,0.0,N
735.95,40.89,118.94,28,19,9,0,19.22,14.29,14,0,8,6,0,0,5,6.19,0,1,0.0,N
1470.86,81.71,176.0,44,31,13,0,21.06,9.09,20,0,7,10,0,0,7,8.36,0,1,0.0,N
791.15,43.95,117.21,30,21,9,0,17.36,12.5,15,0,6,7,0,0,5,6.75,0,1,0.0,N
1319.22,73.29,182.66,43,30,13,0,25.29,20.0,18,0,9,8,0,0,6,7.22,0,2,0.0,N
2409.37,133.85,233.64,55,40,15,1,22.66,18.18,19,4,8,9,2,2,6,10.31,1,1,2.0,Y
2703.0,150.17,229.35,55,40,15,0,19.46,9.09,19,4,7,10,2,2,6,11.79,1,1,2.0,N
710.97,39.5,129.27,31,20,11,0,23.5,12.5,15,0,9,7,0,0,5,5.5,0,1,0.0,N
1712.42,95.13,178.38,40,24,16,0,18.58,0.0,18,8,10,12,4,4,4,9.6,2,0,2.0,N
399.66,22.2,89.92,22,12,10,1,20.23,22.22,19,4,9,7,2,2,5,4.44,1,1,2.0,N
399.66,22.2,89.92,22,12,10,0,20.23,11.11,18,4,9,8,2,2,4,4.44,1,1,2.0,N
17051.32,947.3,557.65,116,63,53,1,18.24,7.69,38,6,13,24,2,3,8,30.58,2,1,3.0,Y
594.0,33.0,108.0,27,16,11,2,19.64,22.22,19,0,8,7,0,0,5,5.5,0,0,0.0,N
1444.3,80.24,152.93,36,19,17,0,16.19,0.0,17,4,9,8,2,2,5,9.44,1,0,2.0,N
790.81,43.93,178.38,40,21,19,0,40.24,23.08,26,4,15,10,2,2,8,4.43,1,3,2.0,N
4470.34,248.35,302.61,66,41,25,1,20.48,6.67,30,4,11,14,2,2,7,14.77,1,0,2.0,Y
3988.08,221.56,293.44,64,41,23,20,21.59,92.59,32,12,11,2,6,6,3,13.59,3,5,2.0,Y
644.64,35.81,85.95,22,12,10,0,11.46,0.0,14,4,6,7,2,2,3,7.5,1,0,2.0,N
11272.23,626.23,513.83,101,62,39,1,23.42,18.75,43,12,16,26,6,6,9,21.94,3,5,2.0,Y
11272.23,626.23,513.83,101,62,39,1,23.42,18.75,43,12,16,26,6,6,9,21.94,3,5,2.0,N
11272.23,626.23,513.83,101,62,39,1,23.42,18.75,43,12,16,26,6,6,9,21.94,3,5,2.0,Y
23.22,1.29,11.61,5,4,1,0,5.8,0.0,5,0,1,2,0,0,1,2.0,0,0,0.0,N
157.4,8.74,44.97,13,9,4,0,12.85,0.0,12,0,4,3,0,0,3,3.5,0,0,0.0,N
4795.77,266.43,310.84,84,48,36,0,20.15,0.0,20,0,7,11,0,0,4,15.43,0,0,0.0,N
16658.75,925.49,732.25,154,105,49,6,32.18,29.82,70,16,14,40,8,8,11,22.75,4,11,2.0,Y
42701.09,2372.28,1746.0,291,166,125,11,71.39,27.45,135,42,46,74,20,21,31,24.46,11,17,2.1,Y
5408.68,300.48,309.07,65,37,28,1,17.66,15.79,28,8,12,16,4,4,7,17.5,2,2,2.0,Y
3780.76,210.04,284.27,62,43,19,8,21.37,70.0,29,0,10,6,0,0,7,13.3,0,6,0.0,Y
1938.6,107.7,190.4,41,25,16,3,18.7,27.27,21,4,11,8,2,2,4,10.18,1,0,2.0,N
317.31,17.63,77.71,21,14,7,0,19.03,20.0,12,0,6,4,0,0,4,4.08,0,1,0.0,N
1304.74,72.49,164.23,38,25,13,10,20.67,87.5,23,8,9,2,4,4,5,7.94,2,4,2.0,Y
20251.07,1125.06,971.34,173,87,86,0,46.59,10.87,67,16,33,41,8,8,18,20.85,4,5,2.0,N
24819.33,1378.85,672.09,130,83,47,4,18.2,39.47,57,12,14,23,6,6,17,36.93,3,11,2.0,Y
11910.2,661.68,523.19,102,59,43,7,22.98,23.68,48,18,17,29,6,9,8,22.76,6,2,3.0,Y
13507.21,750.4,600.32,118,78,40,0,26.68,13.79,48,0,16,25,0,0,17,22.5,0,4,0.0,N
21778.37,1209.91,834.42,159,101,58,0,31.97,15.38,63,0,20,33,0,0,22,26.1,0,6,0.0,N
375.06,20.84,93.77,24,17,7,0,23.44,20.0,11,0,7,4,0,0,4,4.0,0,1,0.0,N
21778.37,1209.91,834.42,159,101,58,0,31.97,15.38,63,0,20,33,0,0,22,26.1,0,6,0.0,N
681.48,37.86,108.42,26,18,8,0,17.25,20.0,11,0,7,4,0,0,4,6.29,0,1,0.0,N
16988.95,943.83,656.39,126,82,44,0,25.36,16.67,53,0,17,30,0,0,15,25.88,0,6,0.0,N
4246.27,235.9,307.7,69,46,23,1,22.3,15.38,37,8,10,22,4,4,7,13.8,2,3,2.0,Y
4333.9,240.77,303.07,69,43,26,3,21.19,32.25,50,12,10,21,6,6,15,14.3,3,7,2.0,N
2148.39,119.36,188.87,43,29,14,1,16.6,28.57,29,8,8,15,4,4,6,11.38,2,5,2.0,Y
1971.45,109.53,212.61,47,30,17,0,22.93,10.53,31,4,11,17,2,2,7,9.27,1,2,2.0,N
1328.8,73.82,148.68,35,22,13,1,16.64,10.0,16,4,8,9,2,2,4,8.94,1,0,2.0,Y
1337.14,74.29,160.0,40,27,13,0,19.15,0.0,16,0,7,10,0,0,4,8.36,0,0,0.0,N
5130.52,285.03,394.66,83,55,28,0,30.36,8.33,32,6,14,22,2,3,6,13.0,2,2,3.0,N
2720.25,151.13,272.03,61,41,20,1,27.2,14.29,28,4,11,18,2,2,5,10.0,1,2,2.0,N
2995.56,166.42,272.32,62,42,20,0,24.76,11.11,25,4,10,16,2,2,5,11.0,1,2,2.0,N
19076.12,1059.78,827.28,164,115,49,8,35.88,17.78,51,4,17,37,2,2,4,23.06,1,0,2.0,Y
817.52,45.42,121.11,31,22,9,0,17.94,0.0,11,0,6,7,0,0,2,6.75,0,0,0.0,N
2126.66,118.15,212.67,51,35,16,0,21.27,0.0,18,0,8,11,0,0,5,10.0,0,0,0.0,N
451.11,25.06,116.0,29,19,10,1,29.83,50.0,29,0,9,7,0,0,13,3.89,0,6,0.0,Y
15713.29,872.96,897.9,178,108,70,1,51.31,27.91,56,12,22,31,6,6,11,17.5,3,11,2.0,Y
3568.26,198.24,169.92,40,25,15,3,8.09,42.86,23,8,5,8,4,4,7,21.0,2,3,2.0,Y
42678.84,2371.05,1219.4,197,121,76,13,34.84,29.33,102,16,38,53,8,8,25,35.0,4,9,2.0,Y
15095.42,838.63,486.08,109,66,43,14,15.65,45.95,43,16,9,20,8,8,4,31.06,4,3,2.0,Y
271.98,15.11,66.61,18,11,7,1,16.3,16.67,12,0,6,5,0,0,4,4.08,0,0,0.0,Y
6639.14,368.84,442.61,87,57,30,2,29.51,17.14,51,4,17,29,2,2,14,15.0,1,4,2.0,Y
0.0,0.0,4.75,3,3,0,0,0.0,0.0,5,0,0,2,0,0,1,0.0,0,0,0.0,N
