LOC_CODE_AND_COMMENT,PERCENT_COMMENTS,LOC_COMMENTS,LOC_TOTAL,DECISION_COUNT,HALSTEAD_PROG_TIME,LOC_EXECUTABLE,NODE_COUNT,NUMBER_OF_LINES,LOC_BLANK,DECISION_DENSITY,NUM_UNIQUE_OPERANDS,NUM_OPERATORS,NORMALIZED_CYLOMATIC_COMPLEXITY,HALSTEAD_VOLUME,HALSTEAD_LENGTH,HALSTEAD_DIFFICULTY,PARAMETER_COUNT,HALSTEAD_CONTENT,CONDITION_COUNT,Defective
4,31.9,11,36,12,514.8,32,29,71,22,2.2,23,78,0.1,634.3,120,14.6,0,43.4,26,Y
0,22.2,2,7,0,80.4,7,4,18,7,0,4,30,0.1,144.7,38,10,0,14.5,0,N
0,16.7,2,10,2,80,10,9,24,10,2,8,25,0.1,159.9,37,9,0,17.8,4,N
0,37.5,6,10,2,82.1,10,9,27,9,2,8,26,0.1,164.2,38,9,0,18.3,4,N
0,0,0,4,0,10.3,4,2,10,3,0,3,8,0.1,39.9,12,4.7,0,8.5,0,N
0,27.3,3,8,0,19.5,8,6,22,9,0,7,15,0.1,87.6,23,4,1,21.9,0,N
9,58.3,5,19,2,183.7,10,8,34,8,2,15,46,0.1,331.7,69,10,1,33.3,4,Y
0,14.3,1,6,0,15.1,6,3,14,5,0,6,11,0.1,66.6,18,4.1,1,16.3,0,N
0,12.5,1,7,0,46.9,7,3,15,5,0,6,23,0.1,125,32,6.8,1,18.5,0,N
1,10.5,1,18,2,217.6,17,8,27,6,3,9,45,0.1,285.4,64,13.7,1,20.8,6,N
1,60,2,3,0,5.8,2,3,11,4,0,3,8,0.1,34.9,11,3,1,11.6,0,Y
1,11.1,1,17,2,139.7,16,7,26,6,2,9,39,0.1,242,56,10.4,1,23.3,4,Y
0,9.1,1,10,0,81.7,10,3,19,6,0,7,31,0.1,176,44,8.4,1,21.1,0,N
0,14.3,1,6,0,40.9,6,4,14,5,0,8,19,0.1,118.9,28,6.2,1,19.2,0,N
0,9.1,1,10,0,81.7,10,3,20,7,0,7,31,0.1,176,44,8.4,1,21.1,0,N
0,12.5,1,7,0,44,7,3,15,5,0,6,21,0.1,117.2,30,6.8,1,17.4,0,N
0,20,2,8,0,73.3,8,4,18,6,0,9,30,0.1,182.7,43,7.2,1,25.3,0,N
1,18.2,1,10,2,133.9,9,6,19,6,2,8,40,0.1,233.6,55,10.3,1,22.7,4,Y
0,9.1,1,10,2,150.2,10,6,19,6,2,7,40,0.1,229.4,55,11.8,1,19.5,4,N
0,12.5,1,7,0,39.5,7,4,15,5,0,9,20,0.1,129.3,31,5.5,1,23.5,0,N
0,0,0,12,4,95.1,12,9,18,4,2,10,24,0.2,178.4,40,9.6,0,18.6,8,N
1,22.2,1,8,2,22.2,7,6,19,5,2,9,12,0.1,89.9,22,4.4,4,20.2,4,N
0,11.1,1,8,2,22.2,8,6,18,4,2,9,12,0.1,89.9,22,4.4,4,20.2,4,N
1,7.7,1,25,2,947.3,24,11,38,8,3,13,63,0.1,557.7,116,30.6,3,18.2,6,Y
2,22.2,0,9,0,33,7,3,19,5,0,8,16,0.1,108,27,5.5,3,19.6,0,N
0,0,0,8,2,80.2,8,8,17,5,2,9,19,0.1,152.9,36,9.4,3,16.2,4,N
0,23.1,3,10,2,43.9,10,8,26,8,2,15,21,0.1,178.4,40,4.4,4,40.2,4,N
1,6.7,0,15,2,248.4,14,6,30,7,2,11,41,0.1,302.6,66,14.8,6,20.5,4,Y
20,92.6,5,22,6,221.6,2,13,32,3,2,11,41,0.1,293.4,64,13.6,0,21.6,12,Y
0,0,0,7,2,35.8,7,6,14,3,2,6,12,0.1,86,22,7.5,3,11.5,4,N
1,18.8,5,27,6,626.2,26,14,43,9,2,16,62,0.1,513.8,101,21.9,0,23.4,12,Y
1,18.8,5,27,6,626.2,26,14,43,9,2,16,62,0.1,513.8,101,21.9,0,23.4,12,N
1,18.8,5,27,6,626.2,26,14,43,9,2,16,62,0.1,513.8,101,21.9,0,23.4,12,Y
0,0,0,2,0,1.3,2,2,5,1,0,1,4,0.2,11.6,5,2,0,5.8,0,N
0,0,0,3,0,8.7,3,2,12,3,0,4,9,0.1,45,13,3.5,4,12.9,0,N
0,0,0,11,0,266.4,11,2,20,4,0,7,48,0.1,310.8,84,15.4,3,20.2,0,N
6,29.8,11,46,8,925.5,40,20,70,11,2,14,105,0.1,732.3,154,22.8,1,32.2,16,Y
11,27.5,17,85,20,2372.3,74,51,135,31,2.1,46,166,0.1,1746,291,24.5,0,71.4,42,Y
1,15.8,2,17,4,300.5,16,11,28,7,2,12,37,0.1,309.1,65,17.5,1,17.7,8,Y
8,70,6,14,0,210,6,3,29,7,0,10,43,0,284.3,62,13.3,0,21.4,0,Y
3,27.3,0,11,2,107.7,8,8,21,4,2,11,25,0.1,190.4,41,10.2,5,18.7,4,N
0,20,1,4,0,17.6,4,4,12,4,0,6,14,0.1,77.7,21,4.1,2,19,0,N
10,87.5,4,12,4,72.5,2,9,23,5,2,9,25,0.1,164.2,38,7.9,0,20.7,8,Y
0,10.9,5,41,8,1125.1,41,27,67,18,2,33,87,0.1,971.3,173,20.9,2,46.6,16,N
4,39.5,11,27,6,1378.9,23,18,57,17,2,14,83,0.1,672.1,130,36.9,0,18.2,12,Y
7,23.7,2,36,6,661.7,29,19,48,8,3,17,59,0.2,523.2,102,22.8,0,23,18,Y
0,13.8,4,25,0,750.4,25,13,48,17,0,16,78,0.1,600.3,118,22.5,1,26.7,0,N
0,15.4,6,33,0,1209.9,33,14,63,22,0,20,101,0.1,834.4,159,26.1,1,32,0,N
0,20,1,4,0,20.8,4,2,11,4,0,7,17,0.1,93.8,24,4,1,23.4,0,N
0,15.4,6,33,0,1209.9,33,14,63,22,0,20,101,0.1,834.4,159,26.1,1,32,0,N
0,20,1,4,0,37.9,4,3,11,4,0,7,18,0.1,108.4,26,6.3,1,17.3,0,N
0,16.7,6,30,0,943.8,30,13,53,15,0,17,82,0.1,656.4,126,25.9,1,25.4,0,N
1,15.4,3,23,4,235.9,22,11,37,7,2,10,46,0.1,307.7,69,13.8,2,22.3,8,Y
3,32.3,7,24,6,240.8,21,12,50,15,2,10,43,0.1,303.1,69,14.3,2,21.2,12,N
1,28.6,5,16,4,119.4,15,9,29,6,2,8,29,0.1,188.9,43,11.4,1,16.6,8,Y
0,10.5,2,17,2,109.5,17,8,31,7,2,11,30,0.1,212.6,47,9.3,4,22.9,4,N
1,10,0,10,2,73.8,9,7,16,4,2,8,22,0.1,148.7,35,8.9,1,16.6,4,Y
0,0,0,10,0,74.3,10,3,16,4,0,7,27,0.1,160,40,8.4,1,19.2,0,N
0,8.3,2,22,2,285,22,8,32,6,3,14,55,0.1,394.7,83,13,1,30.4,6,N
1,14.3,2,19,2,151.1,18,7,28,5,2,11,41,0.1,272,61,10,1,27.2,4,N
0,11.1,2,16,2,166.4,16,6,25,5,2,10,42,0.1,272.3,62,11,1,24.8,4,N
8,17.8,0,45,2,1059.8,37,13,51,4,2,17,115,0.1,827.3,164,23.1,1,35.9,4,Y
0,0,0,7,0,45.4,7,3,11,2,0,6,22,0.1,121.1,31,6.8,1,17.9,0,N
0,0,0,11,0,118.2,11,3,18,5,0,8,35,0.1,212.7,51,10,1,21.3,0,N
1,50,6,8,0,25.1,7,8,29,13,0,9,19,0,116,29,3.9,0,29.8,0,Y
1,27.9,11,32,6,873,31,18,56,11,2,22,108,0.1,897.9,178,17.5,0,51.3,12,Y
3,42.9,3,11,4,198.2,8,9,23,7,2,5,25,0.1,169.9,40,21,0,8.1,8,Y
13,29.3,9,66,8,2371.1,53,24,102,25,2,38,121,0.1,1219.4,197,35,0,34.8,16,Y
14,46,3,34,8,838.6,20,16,43,4,2,9,66,0.1,486.1,109,31.1,0,15.7,16,Y
1,16.7,0,6,0,15.1,5,3,12,4,0,6,11,0.1,66.6,18,4.1,1,16.3,0,Y
2,17.1,4,31,2,368.8,29,13,51,14,2,17,57,0.1,442.6,87,15,1,29.5,4,Y
0,0,0,2,0,0,2,2,5,1,0,0,3,0.2,4.8,3,0,0,0,0,N
6,22.1,11,66,8,2352.9,60,25,98,19,2.8,20,176,0.1,1323.5,256,32,1,41.4,22,Y
0,14.3,3,18,0,284.9,18,4,28,5,0,6,81,0,384.5,101,13.3,1,28.8,0,N
0,23.1,3,10,0,100.7,10,4,20,5,0,5,39,0.1,188.7,51,9.6,1,19.7,0,N
1,28.6,1,6,0,24.2,5,3,13,4,0,5,14,0.1,77.7,21,5.6,1,13.9,0,Y
0,0,0,2,0,0.7,2,2,5,1,0,1,3,0.2,8,4,1.5,1,5.3,0,N
11,39.6,8,40,2,699,29,18,70,20,2,29,84,0.1,739.4,131,17,0,43.5,4,Y
2,28.6,6,22,4,388.9,20,12,38,8,2,15,61,0.1,461.5,96,15.2,1,30.4,8,Y
2,27.3,4,18,2,244.6,16,8,30,6,2,12,51,0.1,343.1,73,12.8,0,26.7,4,Y
24,52.3,10,55,4,3412,31,19,87,20,2.5,43,216,0.1,2017.5,335,30.4,0,66.3,10,Y
2,16.2,4,33,4,832.6,31,12,49,10,2,14,102,0.1,697.1,145,21.5,1,32.4,8,N
0,0,0,10,2,77.3,10,7,16,4,2,8,20,0.1,142.6,33,9.8,1,14.6,4,N
